,StudySeq,Mean_MFCC1,Mean_MFCC2,Mean_MFCC3,Mean_MFCC4,Mean_MFCC5,Mean_MFCC6,Mean_MFCC7,Mean_MFCC8,Mean_MFCC9,Mean_MFCC10
0,StudySeq1,-38.016057854299454,-39.698729672312474,-40.81674932607469,-40.391464108859886,-43.33148222388728,-46.84081224884236,-43.17443408308259,-38.842859314135964,-38.604363801923505,-42.21665236504643
1,StudySeq2,-38.211044231234766,-35.62262667832077,-36.94377733439088,-37.19969739753261,-39.554697864996555,-39.3535525219678,-41.30254239203345,-41.67385286357538,-41.32617202173704,-41.806482064953755
2,StudySeq3,-39.84123679392848,-42.916764182007825,-43.67144060602281,-40.54643708009299,-43.83682842376234,-45.331549267660584,-43.83274429038864,-47.16198099543153,-80.56181215327562,-80.56181215327562
3,StudySeq4,-40.6155104746088,-41.98133575824423,-39.44872833708199,-39.10138141105967,-43.984637010043656,-45.90062501642786,-42.4146898856549,-44.81290302394028,-48.62920606692841,-80.07675984519408
4,StudySeq5,-44.34641298217652,-42.55147358401611,-52.38192196229984,-44.652672048015624,-42.25917580462191,-46.18300685064979,-45.15042852655988,-45.569583836866414,-39.729087262961684,-47.804977486561356
5,StudySeq6,-42.60035747247424,-43.82597146318177,-46.76397101602398,-46.622338191074725,-46.44136791706623,-47.16561308715106,-47.994672820411665,-44.81148727203962,-44.53479750809912,-46.563909933360186
6,StudySeq7,-39.96688230822022,-43.327257158568884,-41.33602834029086,-40.76549226414929,-43.253501984614395,-47.67701814734517,-46.96994640942308,-46.66614041521893,-40.22841752766204,-39.48398036615593
7,StudySeq8,-42.61378770229382,-40.3942430820261,-42.158535479232796,-42.65235912981892,-42.72818945756639,-40.68296972197361,-40.94303137197143,-41.511165949412465,-42.32764240152994,-42.206642635279145
8,StudySeq9,-44.121279442259954,-46.506850617180916,-49.33411434563387,-47.08755043912858,-47.90713887004164,-43.740940023761205,-46.41627415688459,-43.530389882801884,-43.700221484461885,-43.29590402219173
9,StudySeq10,-42.07698362698909,-44.962104663582075,-46.14579792048034,-43.843541258043246,-45.40960429870927,-41.876128365291784,-41.12307407229176,-46.27812681623185,-43.87442264936829,-43.779437773156175
10,StudySeq11,-41.043366463740895,-41.74087068474667,-40.860465363213606,-41.997078671602964,-42.33170097221977,-39.91416770109634,-43.24085148554729,-63.625720809582944,-40.16710761056394,-43.804563458657725
11,StudySeq12,-45.39880413162176,-42.80150117280263,-43.835466956759305,-45.058448273136236,-43.70163802610594,-46.49507741032721,-42.097537209522415,-49.88860597644273,-67.43131297889676,-48.310839776840446
12,StudySeq13,-42.90216203975764,-48.32164650687995,-47.86179332734132,-44.1190701805575,-41.45953349775502,-40.27384944572741,-40.911952522340385,-45.06866825170016,-48.795242086164755,-79.39743375216122
13,StudySeq14,-39.68785410191438,-43.40589059158379,-43.44853047707141,-46.45715574973182,-45.105889118425125,-46.628102690887275,-42.87305429890811,-45.57686738183592,-43.818597337617646,-43.583342804511545
14,StudySeq15,-43.194021471966025,-40.947417231326604,-40.5856054451145,-41.14952701662307,-42.84814072838792,-44.85729495691187,-46.889623583106285,-39.1532607027985,-37.48556005774123,-40.19733880326437
