,StudySeq,Mean_Spectral_Centroid1,Mean_Spectral_Centroid2,Mean_Spectral_Centroid3,Mean_Spectral_Centroid4,Mean_Spectral_Centroid5,Mean_Spectral_Centroid6,Mean_Spectral_Centroid7,Mean_Spectral_Centroid8,Mean_Spectral_Centroid9,Mean_Spectral_Centroid10
0,StudySeq1,1581.5536312174224,1856.858499839285,1613.227131836601,1847.3088383720844,1906.9003176792319,1987.5193310231166,1799.1526364051301,1522.0746413662177,1600.0428825918148,508.11685273657747
1,StudySeq2,1886.2721506626156,1176.0606307947671,1455.218457846807,1238.302652160703,1878.0341207600466,2287.425251697302,1794.9042549195447,2475.3111237506123,1600.4530824069773,2163.177680445242
2,StudySeq3,1992.48050586912,2013.2625259808608,2005.6253740682127,2363.009486583839,2834.440470573854,1789.1218596210344,2111.3693437989286,1242.5425419149635,98.15328478854984,98.15328478854984
3,StudySeq4,2077.878866091386,2042.3506542871726,1507.4008599466795,1538.0733806694434,2116.4459179044384,2084.3555785394183,1844.9029652379174,2050.4737198237704,979.4356218095883,98.15328453704396
4,StudySeq5,1767.2307372533344,1845.7395581666724,2154.1183400215796,2054.3170019582103,1172.9743689995603,1225.7046553281223,1710.5458898935997,2067.7659047923453,1554.6820841690342,892.5929694712802
5,StudySeq6,1580.0626171549427,1256.7074704984577,1394.8714173599622,1714.4676572077435,1560.271109647015,1678.8584729448573,2045.459907102127,1710.7492947167461,1514.978843250704,1764.86285051782
6,StudySeq7,2897.1545535056594,1945.2433304205986,1400.0558752158083,1722.4212789742792,1932.317355108889,1547.966680170544,2111.4808024844833,2278.148663603015,1268.9922602902616,1660.7384300822903
7,StudySeq8,1976.4117424605952,1251.2465211230085,1248.31208300874,1760.149924696929,1487.9177222838703,1344.0938340745374,1521.125710327977,1266.372874535569,2174.5652706318574,2094.229720921568
8,StudySeq9,2506.320277710596,1341.0916690394117,2767.437082133252,2162.213129176253,1552.4021952895082,1923.029081867668,1269.7904844049563,1940.6922512161725,1996.0944523461073,1130.988313594552
9,StudySeq10,1455.7632660177842,1285.688444254832,2541.277608514262,1939.7334101046822,2202.5102717823515,1576.2886621131197,1738.7132895831708,1352.7796758618977,1630.7714505380538,1033.418573686462
10,StudySeq11,1842.4070975212887,2386.9621741294627,1433.966738542286,1649.1206985367544,1205.234739594537,1353.2245264305293,1953.2153845096075,2603.0383306699764,1055.6338751272253,1468.908769256816
11,StudySeq12,1910.3625614236155,1206.3804080248517,1787.7644082483384,1874.2953274739014,1604.0033417105226,2279.3247501087862,2187.525358437202,2257.1312851200414,2892.1824463716944,1523.2432817141896
12,StudySeq13,1254.809798178601,2073.5080391082624,2153.4213762768495,1537.8121570114286,2144.5571221637324,1518.1412054917928,1491.3300147080192,1303.6796884480782,857.6838515924387,98.15328450564606
13,StudySeq14,1452.4227255371798,1881.0245196135809,1511.8049889666324,2183.3621116819513,1577.975298066129,1949.7181392357304,2072.2702239739647,1670.2705704732377,1790.6624923923673,1744.692211237723
14,StudySeq15,1401.9970877064281,1475.8566937792011,1524.4332026226978,1713.568372044646,1654.3418231727694,1593.1254568027819,1416.6092665138801,1367.395744197596,1554.574476179966,929.1946014412086
15,StudySeq16,1128.07197781163,1630.9192443085058,1876.2001281865648,1746.0892519443157,1413.3187230348365,2060.873604958447,1804.5689424864831,1892.149795473324,1940.3656210037962,1841.10319540262
16,StudySeq17,2228.1023262770896,2537.016476962382,1948.6906975542197,1793.040184557857,1607.3497369530996,1862.3613464629075,1563.1868177932304,2119.4867746073915,1731.3790730612209,1458.125989032367
17,StudySeq18,1694.732776106008,1284.338861150334,1444.9675707714275,1708.5610683000843,1455.980992014625,1298.7735588676705,1114.4018560289198,1745.8213409578727,1862.329825389995,1652.453350021933
18,StudySeq19,1872.3873460266552,1250.9850508619027,1525.2236601915063,2252.6831297100325,1507.9348153910375,2074.45717441571,1294.2208348014876,1588.0094023882336,2002.4282619525861,2059.5804131684818
