,Spine_RMS_Distance_Score,Spine1_RMS_Distance_Score,Spine2_RMS_Distance_Score,Spine3_RMS_Distance_Score,LeftShoulder_RMS_Distance_Score,LeftArm_RMS_Distance_Score,LeftForeArm_RMS_Distance_Score,LeftHand_RMS_Distance_Score,RightShoulder_RMS_Distance_Score,RightArm_RMS_Distance_Score,RightForeArm_RMS_Distance_Score,RightHand_RMS_Distance_Score,Neck_RMS_Distance_Score,Neck1_RMS_Distance_Score,Head_RMS_Distance_Score
Cond_BA/StudySeq1,0.0,-9.108602375871651e-07,-2.3519665225062347e-06,-8.634764993638891e-07,3.85572938706111e-06,2.3142491262240153e-05,0.00033435742686947886,0.0020005932088892494,3.872339475449718e-06,-1.1836043602678476e-05,0.0001228756601600366,-7.78646346877897e-05,7.154431912522388e-06,1.0282929908935386e-06,-6.795610004497987e-06
Cond_BA/StudySeq2,0.0,7.140904731984965e-05,0.00014060098382938222,0.0002190991974902227,0.0002987055614752138,0.0004172153020170165,6.635963146151758e-05,0.001043150583229693,0.0002986831893786228,0.00026180382295463815,0.0005357930174499553,0.0016413640203080263,0.0003275253666091353,0.0003636563348286777,0.0003919665835550738
Cond_BA/StudySeq3,0.0,-9.465777296957297e-06,-2.4830752231701406e-05,-4.5439454406655665e-05,-7.455188282871074e-05,-3.4410336752226396e-05,0.001601511509057403,0.01025477665542546,-7.454992936457401e-05,-0.0001309911812870056,0.0005986177092716943,0.0010048182963817264,-8.01603763929985e-05,-0.000106371445493752,-0.00012495623077488812
Cond_BA/StudySeq4,0.0,1.5247973891392301e-05,3.0276838845472125e-05,4.6739304670636e-05,7.491322091128329e-05,7.895203669915513e-05,-0.0002859783085040783,-0.0014830042168966812,7.490928354287441e-05,0.00013208912344489875,0.00043870063056975406,0.0006388256930148383,7.60913788620117e-05,9.96087350907047e-05,0.00013325062172324614
Cond_BA/StudySeq5,0.0,2.259850566939078e-06,4.096084581371782e-06,9.01263766888884e-06,1.2153390249090386e-05,1.0561679282821608e-05,-3.369948175374959e-05,0.00025596585307360165,1.2141961566317238e-05,-9.677052943343708e-06,5.745028919962352e-05,2.4383627292864076e-05,1.2447020766478509e-05,3.5310309094367945e-06,-2.4077558244989895e-06
Cond_BA/StudySeq6,0.0,-2.1288186084289698e-05,-4.191183595848829e-05,-6.279552058693913e-05,-7.853543459267617e-05,-5.655471625024287e-05,2.4690280720572285e-05,3.818682749622919e-05,-7.85202922147757e-05,-7.127930242837411e-05,-0.0002681261102488827,0.0003624195289208489,-8.829153395864832e-05,-0.00011012850650734461,-0.0001301800562577875
Cond_BA/StudySeq7,0.0,1.580039862412269e-05,3.080869862247942e-05,5.223881712017979e-05,8.320477891639934e-05,0.0001375073460091207,0.00025017567487381395,-0.0004013292006950953,8.319603469709655e-05,0.00014088556078574203,0.00033308311512226336,-0.00013736254301759902,8.620500864739278e-05,8.534196826258798e-05,7.784407023084017e-05
Cond_BA/StudySeq8,0.0,-2.0383633755520032e-05,-4.038496334246807e-05,-6.207864089890003e-05,-8.251634620800204e-05,-9.787298156862364e-05,-0.00019798307422172603,-0.0005123064942552937,-8.251271893992868e-05,-3.642716468122513e-05,0.00015482920327681727,0.000271529820336574,-9.52632029282508e-05,-0.00011922429063032368,-0.00014495909464053077
Cond_BA/StudySeq9,0.0,8.64383194840216e-07,6.02015944649294e-06,1.1224037148906057e-05,6.032020680968183e-06,-1.0431514683449254e-05,0.0005335040273094887,0.0007851709801989091,6.081222530030385e-06,2.060464154447452e-05,0.00010195444246394209,0.0009219099536997052,5.524066396780839e-06,-2.1772238541215416e-06,-1.7634699752337526e-05
Cond_BA/StudySeq10,0.0,-1.2836111772621271e-05,-2.8040682850320856e-05,-4.087374748732486e-05,-2.8869043047693358e-05,-9.356206691666899e-05,-0.0004060120965046326,-0.00034803213416268044,-2.8862094833342045e-05,-4.952089939117243e-05,2.308099086389059e-05,-0.0004911506979524098,-3.880441117153892e-05,-3.9370963786098276e-05,-4.2665345961791433e-05
Cond_BA/StudySeq11,0.0,1.6100706192627147e-05,3.4377420060427454e-05,5.4661196756158564e-05,5.6460200669575044e-05,0.00015834615856947398,-0.0001063616177776462,0.0005080069878985271,5.644001981629923e-05,7.970464852809624e-05,0.00012056835543924756,0.0009064935138620009,6.78744654138998e-05,8.154106536082752e-05,9.746093257379247e-05
Cond_BA/StudySeq12,0.0,-8.867058275573018e-06,-1.702679354887156e-05,-2.4467763338383877e-05,-3.93480912919213e-05,-1.236411372548601e-05,0.00018428268122739374,0.0004170009772687099,-3.935601042172845e-05,-3.54957759223471e-05,-0.00020910870764514027,-0.0003505871956605954,-4.191275030923935e-05,-5.6957508888713894e-05,-7.033036514572343e-05
Cond_BA/StudySeq13,0.0,-9.748224549618565e-06,-2.2297435307725504e-05,-3.3509461951701766e-05,-3.408353031929596e-05,-7.26161250819318e-05,-0.00023800166823826792,-0.0006326429633106438,-3.407617173282954e-05,4.772139623797752e-06,-3.8152475555804334e-05,-0.00021808148005364784,-4.4773032329085e-05,-5.346116253536286e-05,-5.674671642629212e-05
Cond_BA/StudySeq14,0.0,-1.084349857837905e-05,-2.0132333539050545e-05,-3.103546943447618e-05,-4.395528623995781e-05,-8.790920820176177e-05,-0.00021791243471534725,-0.0013647030739844075,-4.390543294111818e-05,-4.808348815068699e-05,-8.431852123307722e-05,-0.00021611443700552714,-4.5461974243794454e-05,-5.5726267993029333e-05,-6.522928886939062e-05
Cond_BA/StudySeq15,0.0,-1.2866131533084177e-05,-2.9658705349494893e-05,-4.3842812951198294e-05,-4.201242596166805e-05,-2.18975480083046e-05,0.0001470289547727132,0.00012132941773688511,-4.202033317060909e-05,-5.2261608675242675e-05,-0.00010018970629171374,0.00021612473675537269,-5.6639706078894745e-05,-8.283495949868244e-05,-0.0001129463852341336
Cond_BA/StudySeq16,0.0,3.0058269082690747e-06,7.74631222167299e-06,1.3727565852177991e-05,2.4468200581076664e-05,3.157158570667303e-05,8.088288182414657e-05,0.0004565836126249259,2.4464142109730408e-05,-1.1925410796837246e-06,-0.00027029252528234615,-0.0006114646524002673,2.575544445623232e-05,3.0774021841318976e-05,3.209591859286702e-05
Cond_BA/StudySeq17,0.0,-5.003596954634254e-06,-9.821089809622905e-06,-1.4292106451527868e-05,-2.050179097574393e-05,-3.9538767637906304e-05,-0.00024071732129646317,-0.00027598743748015074,-2.0506236391667925e-05,9.217510497374215e-06,0.00017143604582010058,0.00036704194890401263,-2.469813606665605e-05,-3.2054911004877494e-05,-3.475009259090247e-05
