,Spine_RMS_Distance_Score,Spine1_RMS_Distance_Score,Spine2_RMS_Distance_Score,Spine3_RMS_Distance_Score,LeftShoulder_RMS_Distance_Score,LeftArm_RMS_Distance_Score,LeftForeArm_RMS_Distance_Score,LeftHand_RMS_Distance_Score,RightShoulder_RMS_Distance_Score,RightArm_RMS_Distance_Score,RightForeArm_RMS_Distance_Score,RightHand_RMS_Distance_Score,Neck_RMS_Distance_Score,Neck1_RMS_Distance_Score,Head_RMS_Distance_Score
Cond_BA/StudySeq1,0.4646787191946071,0.4570820504819016,0.4476901865659607,0.4348029991302792,0.41317870021431985,0.42634016142708475,0.20855708540180137,0.31829408572316165,0.41325221649677446,0.4865653690147191,0.4841340767466354,0.6665975252850473,0.4157928371700674,0.4064885197847278,0.40774721122209723
Cond_BA/StudySeq2,0.4646787191946071,0.4919636054751105,0.5156208861461868,0.5336766795544214,0.5300095835200459,0.5666819855762356,0.19496628593411167,0.28554130236019953,0.5300517127806729,0.6123177498972534,0.4960824853514551,0.6944532980303653,0.5424609429853995,0.535440793288511,0.5371652261609243
Cond_BA/StudySeq3,0.4646787191946071,0.4529558171950053,0.4370083528914489,0.41476600415172277,0.3821105780852128,0.40584377434312835,0.272817453661416,0.6006582452218194,0.38218252723342605,0.43180711157692075,0.49790041592546813,0.6841396768746395,0.3812703503278611,0.36829665690198327,0.369398257306638
Cond_BA/StudySeq4,0.4646787191946071,0.4648758278847348,0.4631952710686433,0.4562005484841562,0.44133442084495605,0.4462157103048416,0.17709839907466235,0.1991250527673326,0.4413959543793787,0.5527068002792981,0.49327296550352256,0.6782096880065327,0.44304909404322307,0.4415441985109342,0.45319912617942626
Cond_BA/StudySeq5,0.4646787191946071,0.4586113572389353,0.45075427598375356,0.43924233303358673,0.41646655369897917,0.42185973533758275,0.18989205261605968,0.2586128052968132,0.41652851278976627,0.48755754248392236,0.48224089146014704,0.6682542009931101,0.41788541840133553,0.4073785054100663,0.4091712864904857
Cond_BA/StudySeq6,0.4646787191946071,0.44725359748544585,0.42889148671769867,0.4069644162286242,0.380532141129756,0.3979574585949034,0.19285313500685522,0.2511628870932874,0.38060953091690597,0.45924796304316556,0.47281982987477655,0.673731221881603,0.3780554571668999,0.36696062795910317,0.3677028680864393
Cond_BA/StudySeq7,0.4646787191946071,0.465142275040783,0.4634480088165649,0.4586725907928004,0.4446198561421644,0.46706911276729174,0.2042880304699492,0.23612765378519915,0.4446790369421848,0.5567492409982324,0.49021675774641826,0.6656335114475389,0.4470478161153264,0.4364708676987049,0.4352169653212358
Cond_BA/StudySeq8,0.4646787191946071,0.4476898838810715,0.4296170507911985,0.4072866551425824,0.3789547503030877,0.3832427140928561,0.18156084467584097,0.23233127460093095,0.37902779323458724,0.47526441326180363,0.48505870242000704,0.6722585829397992,0.3752990020484375,0.36372612343481586,0.36290634062949617
Cond_BA/StudySeq9,0.4646787191946071,0.45793829122537,0.4516685890588644,0.4402363617090505,0.41404103081968957,0.4143833932618622,0.2186562785952835,0.27671617819747535,0.4141273417786622,0.5014736257904571,0.4835286886389909,0.6827963558767429,0.41514822403791424,0.4053486225974488,0.40422939157528653
Cond_BA/StudySeq10,0.4646787191946071,0.45133022734942907,0.4354830060413835,0.41681829892821554,0.4002118823516318,0.3847779675016052,0.1710112029483682,0.23795087245881422,0.4002833402167428,0.4692471310026952,0.4812463621367213,0.6599012649454742,0.3976216519330701,0.392122350023409,0.3961057113533809
