,Spine_RMS_Distance_Score,Spine1_RMS_Distance_Score,Spine2_RMS_Distance_Score,Spine3_RMS_Distance_Score,LeftShoulder_RMS_Distance_Score,LeftArm_RMS_Distance_Score,LeftForeArm_RMS_Distance_Score,LeftHand_RMS_Distance_Score,RightShoulder_RMS_Distance_Score,RightArm_RMS_Distance_Score,RightForeArm_RMS_Distance_Score,RightHand_RMS_Distance_Score,Neck_RMS_Distance_Score,Neck1_RMS_Distance_Score,Head_RMS_Distance_Score
Cond_BA/StudySeq1,0.0,0.0008958206721211198,0.0008987483907302152,0.0011464738208303677,0.0020026093688557275,0.00200999280680193,0.002386950815842872,0.0032724082633125364,0.0032851828464936783,0.003822102541788988,0.004441518666891288,0.004581075136731011,0.005129569661201402,0.005666036415174052,0.008184383151391307
Cond_BA/StudySeq2,0.0,0.0007756646398471603,0.0007791775918593133,0.0010017286156914255,0.0017087031259174167,0.0017149911113019192,0.002038760765398041,0.0027505098078333917,0.0027574257808822633,0.003177951748396058,0.003982869039687122,0.0040599350762331845,0.004454786269792024,0.004925908125677452,0.006132834369026193
Cond_BA/StudySeq3,0.0,0.0004779172527055569,0.00047967387721954783,0.0006233290319944846,0.0010766546333618187,0.0010793533289069491,0.00127854710998484,0.0017768286938925383,0.0017797725009409179,0.002046102814649978,0.0025017479421048454,0.0025480442828400606,0.002814922559614625,0.0033647046329094224,0.004435266534583731
Cond_BA/StudySeq4,0.0,0.0004168849860561424,0.00041892543778311554,0.0005934416643718526,0.0009846913916637333,0.0009868276920817728,0.0012361406230200025,0.0016473811953522498,0.0016498316319847341,0.001997996920181668,0.0024024714670425437,0.002456945039828676,0.002802847416219711,0.003168469890072294,0.003953156735921053
Cond_BA/StudySeq5,0.0,0.00026405236644969706,0.0002711876100977353,0.0004237832003592965,0.0006467615492879348,0.0006559281428099343,0.0008413433529628598,0.0010839069895083153,0.0010954220652258817,0.0013135866685274119,0.001678650836191755,0.0017460876670192082,0.0019269920198614098,0.0017937416123949077,0.0031443729619106335
Cond_BA/StudySeq6,0.0,0.0004184874999232444,0.0004267561713643326,0.0005981319805770641,0.000972112739976947,0.0009823726626299084,0.001204786966787388,0.001595795705898186,0.0016088834486562447,0.0018851687146700623,0.0023193814619689866,0.002397448739349442,0.002639351099801306,0.002588776850598713,0.004001936156561821
Cond_BA/StudySeq7,0.0,0.00031455121502699067,0.00032803757693338983,0.0005685410098985109,0.0008318585846629014,0.0008479844141730583,0.0011440567270420336,0.0014270785911561998,0.0014488800558420311,0.0018367212058125798,0.0022032711227266883,0.00232635745202984,0.0026552681136378085,0.0023805739441606485,0.0038554680142478103
Cond_BA/StudySeq8,0.0,0.0003840151534393981,0.00039671425239731984,0.0005962688429137537,0.0009308063223478286,0.0009484630300094601,0.0012121830568479926,0.0015595329885573848,0.0015844963721694861,0.0019416159983096364,0.002418195958772966,0.0025527601221985202,0.0028630982350122585,0.0026968248189340946,0.004677994209011566
Cond_BA/StudySeq9,0.0,0.0005065356090610989,0.0005085305595967461,0.0006806380609363354,0.001108077876533569,0.001111216891644094,0.001328907738266883,0.0017518599528587532,0.0017556023184254746,0.0020397074674077505,0.0024141892456907344,0.002462539943963475,0.002734018671873239,0.0029700871579337565,0.003948116656349238
Cond_BA/StudySeq10,0.0,0.0005460557966667537,0.0005465426308813106,0.0006607826134855752,0.0011666339611373258,0.0011677343400638756,0.0013068513590990469,0.0018270746227186524,0.0018283162687947113,0.002019096882831866,0.0024692019350492003,0.0025007257501217846,0.002708083890511874,0.0029089906492705715,0.0036990442582619898
Cond_BA/StudySeq11,0.0,0.0007493482677392153,0.0007510765664097126,0.000961412444547102,0.0016305849369742745,0.0016335648977982816,0.001903988907930587,0.0025895049403496257,0.002593489886830681,0.002969762468741602,0.0037481852675196165,0.0038132063532429197,0.004188367570818791,0.004396164190941388,0.0059041813717986245
Cond_BA/StudySeq12,0.0,0.0003763343270532801,0.00037697905962378063,0.0005032510783926472,0.0008278695434645311,0.0008294766013828258,0.0009948619349375068,0.0013406727546282306,0.0013424520369971868,0.001563807721748506,0.002059293714836468,0.0020893285354794838,0.0023101674348869126,0.0022468537069049166,0.003069576248918639
Cond_BA/StudySeq13,0.0,0.0003350722486060522,0.00033734445858530813,0.0005202358800157918,0.0008226659833104672,0.0008278324627113016,0.0010834995613053058,0.001395821335612735,0.001404234388521829,0.0017690768663377173,0.0020261741895281895,0.002108398462467456,0.0024542940132045036,0.002526850684358222,0.0037025424701369073
Cond_BA/StudySeq14,0.0,0.0001729294429457012,0.00017340301257827987,0.00032285109705154614,0.0004670805579301908,0.000468247568258964,0.0006509547066327271,0.0008049797437112463,0.0008062182944178443,0.0010318024330907374,0.0012744487319956714,0.0013010604718373617,0.0015042482591346262,0.001512019627491323,0.0022219771163824852
Cond_BA/StudySeq15,0.0,0.0004343290593433261,0.0004353969675315407,0.0006016174872605574,0.001014507707913469,0.001016733219773299,0.001225751182311934,0.0016473072813925028,0.00164980905872588,0.001901622867321333,0.0023908853985265977,0.002428522627415982,0.0026542388377936957,0.0027766103360564445,0.003997742468992011
Cond_BA/StudySeq16,0.0,0.00013982883629010966,0.0001400930586561278,0.0002514325816003529,0.0003731208144620711,0.00037393057681381966,0.0005080046044713835,0.0006347215059496994,0.0006356862260120019,0.0007976765725858488,0.0009714191702594199,0.0009925224972349345,0.0011387046095474172,0.0011697899953562263,0.0016815372491939095
Cond_BA/StudySeq17,0.0,0.00027572403156073626,0.0002759659486691772,0.00036883943553020515,0.0006178890433789471,0.0006185745144284539,0.0007404390663265516,0.0009926246031028093,0.0009934106497052856,0.0011544958314899023,0.0014386742115979987,0.0014594609912343148,0.001617159431553873,0.0016580393977479512,0.0021592582643189594
Cond_BA/StudySeq18,0.0,0.00018799868681789705,0.00018832493340334043,0.0002911308069896937,0.0004656185159668647,0.0004664587678950667,0.0005937116542886167,0.0007806299343649,0.0007816832388876718,0.0009409232603468477,0.0011581494582723869,0.0011779548238473158,0.0013287721890948743,0.0013697587247737699,0.001951811859715156
Cond_BA/StudySeq19,0.0,0.00010347537042702026,0.00010370264001867966,0.0001906224312786908,0.0002818219525642933,0.00028258944313729273,0.00039473550027239584,0.0004937637372398895,0.0004947958589141683,0.0006382954520639276,0.0007622218424962425,0.0007831631997736115,0.0009285692056968677,0.0009136476272622488,0.0012637175477488232
Cond_BA/StudySeq20,0.0,0.00016794816958495107,0.00016834402335785,0.00029092878416269423,0.0004398858671653865,0.000440779568687865,0.0005947366507244559,0.0007570736372698707,0.0007582065197075245,0.0009592023079195908,0.0011315651282097963,0.00115502463876159,0.0013503660930479387,0.0013592865955828256,0.0017824659045870088
Cond_BA/StudySeq21,0.0,0.0012122830686720403,0.001221086783086307,0.0015464000689156309,0.002630565220004926,0.0026440577151079585,0.0030621793105108557,0.004165821747366854,0.00418484009544696,0.004776521204532795,0.005754299997978524,0.005916476141795922,0.006501242990658755,0.006982013590558507,0.010021630715213883
Cond_BA/StudySeq22,0.0,0.0006148735858284865,0.0006178308653014378,0.0008960995857283399,0.0014596571624008636,0.0014636130102026546,0.0018313679581216226,0.0024315509879296094,0.0024357440264825563,0.002924452825986323,0.0035712136151595745,0.003644150256738511,0.004105313845108637,0.004613854632513386,0.0061181601525246935
Cond_BA/StudySeq23,0.0,0.0004159830840403949,0.0004172772468795437,0.0004805942209411466,0.000865904856531647,0.0008678077187248424,0.000955547949596923,0.0013481641089722325,0.0013502978126279975,0.00146926289793455,0.0019147685185722707,0.0019403901850876936,0.0020601081063141057,0.0023245243301638296,0.0030369358773550312
Cond_BA/StudySeq24,0.0,0.0004701204100872958,0.00047805170137106513,0.0007048098334064013,0.0011213561438485596,0.0011312361693481998,0.0014680401964814488,0.001896723698899304,0.001906464508131249,0.0022912526827606732,0.0027997491387798546,0.002884050549474838,0.003222990458321198,0.0035852214015926953,0.004495692936941028
Cond_BA/StudySeq25,0.0,0.0006003416147542122,0.0006072295397860936,0.0008081157536858892,0.0013324109299537774,0.0013420152254978977,0.001599303070774912,0.00213608363548156,0.002148663804932657,0.0024891084683683613,0.002928709791956837,0.0030155878502140378,0.0033275904186307738,0.0037587035348409675,0.005378463022215487
Cond_BA/StudySeq26,0.0,0.00020613856587586564,0.0002067221835046433,0.000323294559825412,0.0005146754746663968,0.00051597855212741,0.0006631836165037644,0.0008748186510380888,0.0008766448691215182,0.0010682337702433646,0.00135103929059717,0.0013760265420693343,0.0015540362069416135,0.0015297768019477574,0.002359632938352658
Cond_BA/StudySeq27,0.0,0.00018297490183754868,0.00018328005425022407,0.00026970014633334594,0.00043923684675682435,0.0004400719510132917,0.0005583823666131233,0.0007376647865186304,0.0007388402119203469,0.0008861931930161957,0.0011496728938513113,0.0011682401913326735,0.0013148935575539673,0.0013049437777408505,0.0017004912288907034
Cond_BA/StudySeq28,0.0,0.00019049470840948272,0.00019375291661809024,0.00043555671031547455,0.0005769451608800965,0.0005814434487654058,0.000871210501355805,0.0010155450088738204,0.0010210636950700718,0.0013995671229514034,0.0016208903448649559,0.0016849214294219971,0.0020193244729421055,0.00195642319230285,0.003046061582096107
Cond_BA/StudySeq29,0.0,0.0002364669480790771,0.00024455416838095676,0.0005205411516145592,0.0006972694835756508,0.0007093210679757281,0.001066294607123771,0.0012475860328795827,0.0012642455040533355,0.0017450585467439197,0.001921130428598659,0.002039113364303968,0.002452526015612299,0.0024361944537674442,0.003472218977407134
Cond_BA/StudySeq30,0.0,0.0004453178520599608,0.0004473611183746204,0.0006242701688319608,0.0010181440419753831,0.001021565009747201,0.0012393837581929448,0.0016463824075669488,0.0016510448301722148,0.0019649310008793574,0.0023379793487636963,0.0023989054371460644,0.0027151689724137103,0.0028744641109476462,0.0037405836361616854
Cond_BA/StudySeq31,0.0,0.0007902984187285086,0.0007909606530077946,0.0008524819652732197,0.001604081459040433,0.001605045157931811,0.0016874025394288407,0.0024619138849142114,0.0024629361156830996,0.0025808266565340607,0.0034050941115200597,0.003420137748440134,0.0035296921879142845,0.003976561331322633,0.005359850824117545
Cond_BA/StudySeq32,0.0,0.0007065144621463226,0.0007096161818961432,0.0009229337231604033,0.001580024989853501,0.0015845395274641258,0.0018722981420023447,0.002555328123790935,0.0025601589316572794,0.0029376968753005574,0.003559542364419625,0.0036200208873891763,0.003976063411836952,0.004538411375219856,0.006084207945715308
Cond_BA/StudySeq33,0.0,0.0005146082327305635,0.0005163590758377394,0.0006675974950823886,0.0011218148123853888,0.0011246200906532148,0.0013234339462132006,0.0017878884019459917,0.0017908295716136317,0.0020596502620025578,0.002570498167932896,0.002617848586152856,0.0028853466404300935,0.003208142448996338,0.004357326334194563
Cond_BA/StudySeq34,0.0,0.00011837787862930017,0.00011865590179043463,0.00016284322263385463,0.00027494259162245434,0.00027590735064387774,0.0003398958867904392,0.0004541202588749337,0.00045549009729204873,0.0005457597332088943,0.0006893515373305242,0.0007051381100742211,0.0007943361360159131,0.0008024449002518616,0.0010225237612877826
Cond_BA/StudySeq35,0.0,0.00018827868849659055,0.00018858705700886138,0.00029975637410464975,0.000471761780510229,0.000472706211117631,0.0006050997769765663,0.0007890548077141533,0.000790255076817952,0.0009576564550631302,0.0011541370542458586,0.0011771106015874737,0.001337074040570904,0.0013670872605663674,0.0019559579435223786
