,Spine_vs_Spine1,Spine_vs_Spine2,Spine_vs_Spine3,Spine_vs_LeftShoulder,Spine_vs_LeftArm,Spine_vs_LeftForeArm,Spine_vs_LeftHand,Spine_vs_RightShoulder,Spine_vs_RightArm,Spine_vs_RightForeArm,Spine_vs_RightHand,Spine_vs_Neck,Spine_vs_Neck1,Spine_vs_Head,Spine1_vs_Spine2,Spine1_vs_Spine3,Spine1_vs_LeftShoulder,Spine1_vs_LeftArm,Spine1_vs_LeftForeArm,Spine1_vs_LeftHand,Spine1_vs_RightShoulder,Spine1_vs_RightArm,Spine1_vs_RightForeArm,Spine1_vs_RightHand,Spine1_vs_Neck,Spine1_vs_Neck1,Spine1_vs_Head,Spine2_vs_Spine3,Spine2_vs_LeftShoulder,Spine2_vs_LeftArm,Spine2_vs_LeftForeArm,Spine2_vs_LeftHand,Spine2_vs_RightShoulder,Spine2_vs_RightArm,Spine2_vs_RightForeArm,Spine2_vs_RightHand,Spine2_vs_Neck,Spine2_vs_Neck1,Spine2_vs_Head,Spine3_vs_LeftShoulder,Spine3_vs_LeftArm,Spine3_vs_LeftForeArm,Spine3_vs_LeftHand,Spine3_vs_RightShoulder,Spine3_vs_RightArm,Spine3_vs_RightForeArm,Spine3_vs_RightHand,Spine3_vs_Neck,Spine3_vs_Neck1,Spine3_vs_Head,LeftShoulder_vs_LeftArm,LeftShoulder_vs_LeftForeArm,LeftShoulder_vs_LeftHand,LeftShoulder_vs_RightShoulder,LeftShoulder_vs_RightArm,LeftShoulder_vs_RightForeArm,LeftShoulder_vs_RightHand,LeftShoulder_vs_Neck,LeftShoulder_vs_Neck1,LeftShoulder_vs_Head,LeftArm_vs_LeftForeArm,LeftArm_vs_LeftHand,LeftArm_vs_RightShoulder,LeftArm_vs_RightArm,LeftArm_vs_RightForeArm,LeftArm_vs_RightHand,LeftArm_vs_Neck,LeftArm_vs_Neck1,LeftArm_vs_Head,LeftForeArm_vs_LeftHand,LeftForeArm_vs_RightShoulder,LeftForeArm_vs_RightArm,LeftForeArm_vs_RightForeArm,LeftForeArm_vs_RightHand,LeftForeArm_vs_Neck,LeftForeArm_vs_Neck1,LeftForeArm_vs_Head,LeftHand_vs_RightShoulder,LeftHand_vs_RightArm,LeftHand_vs_RightForeArm,LeftHand_vs_RightHand,LeftHand_vs_Neck,LeftHand_vs_Neck1,LeftHand_vs_Head,RightShoulder_vs_RightArm,RightShoulder_vs_RightForeArm,RightShoulder_vs_RightHand,RightShoulder_vs_Neck,RightShoulder_vs_Neck1,RightShoulder_vs_Head,RightArm_vs_RightForeArm,RightArm_vs_RightHand,RightArm_vs_Neck,RightArm_vs_Neck1,RightArm_vs_Head,RightForeArm_vs_RightHand,RightForeArm_vs_Neck,RightForeArm_vs_Neck1,RightForeArm_vs_Head,RightHand_vs_Neck,RightHand_vs_Neck1,RightHand_vs_Head,Neck_vs_Neck1,Neck_vs_Head,Neck1_vs_Head
Cond_BA/StudySeq1,8.61716,17.22527315692587,25.839840254827333,34.10981242136301,40.533504133623865,31.894701574119306,39.691773735191035,34.110095801967695,40.6893605851308,31.91209326206633,43.079515017728625,36.92467252136999,43.90260919678759,50.92034750268466,8.617170000000002,17.233372221088867,25.708096923519033,33.09760363381598,30.334691826664702,39.10128919862673,25.708253568659956,33.02784009516643,29.9026507869882,41.89442914692379,28.338372864801592,35.3422797374423,42.38041517443691,8.617170000000002,17.334395019448237,26.273277513529127,30.943213173883738,39.82302792188358,17.33445297568023,26.0499493000123,30.46885821226073,42.211862172484935,19.728024412254975,26.748213848967943,33.8000124193928,9.467691105280105,20.741785542013606,33.7330344776194,42.25423884837612,9.467691105280105,20.45440869806877,33.40094977041569,44.28033065927321,11.134458198152258,18.18818258371268,25.259410972662184,18.4158,37.22273481866287,42.65332800119386,0.020000000000000028,18.434656564393478,37.85898865654672,45.04971346261559,5.171245031614728,10.43423253706812,17.093099118281366,29.110900000000008,40.8577175758712,18.434887552348687,34.97621894084443,53.614965126969224,61.39052052154658,17.63828469730822,19.04541841982158,22.70181022559896,24.6504,37.238282434396616,53.52097338232766,58.30643702364403,64.0502893600859,39.5965933331132,44.156135146905015,49.33495734426853,42.66436272291466,57.86187410342426,60.20376800314246,56.979465413065654,46.78763276623818,50.21425118363088,54.41086790125235,18.4158,37.84379939388567,45.03563631270213,5.171245031614728,10.434316988956615,17.09317271946501,29.110900000000008,39.6387857201469,17.466812102790353,19.09874442994192,22.880603763120288,24.6504,39.635067668342664,44.50181554479365,49.86578395183681,48.461990192673824,51.75207579509808,55.73604800041984,7.08032,14.159839156136625,7.08031
Cond_BA/StudySeq2,8.61716,17.22510942817934,25.840977742076568,34.1413324617715,40.34897988707558,30.62464015226464,39.22918075926146,34.14158998815368,40.50089380912068,30.053376775637087,39.976920717166514,36.93327473974463,43.89600684022244,50.90188018308917,8.617170000000002,17.233042297980575,25.730845467912072,32.906046244914485,29.240340792534326,39.640054394492125,25.730998461843225,32.867679001868396,28.294029797424102,40.0534712109768,28.342728897361447,35.33249718258485,42.36094940666089,8.61717,17.341740311942164,26.104193528550145,30.157380517263498,41.378121738767916,17.3417988160849,25.917970487198787,29.172649723503387,41.579854804442554,19.729691529549175,26.73538743767102,33.77907454496329,9.467691105280105,20.622937748655545,33.2987877769964,44.76719254873956,9.467691105280105,20.36929544926452,32.490160261004746,44.78463358236647,11.134458198152258,18.17870035025244,25.246714715478532,18.415799999999997,37.3442219176169,46.288401106581425,0.020000000000000014,18.434711510304368,37.29207134230283,46.64373346093181,5.171245031614728,10.375651794847816,17.016412623589392,29.110900000000008,43.70707654190092,18.43493249724675,35.06247759441606,52.907255580224536,62.30255951789672,17.653670339144373,19.199709146755694,22.959708570288605,24.650399999999998,37.35961466884215,53.42932011141198,56.69329912147929,62.50479734418332,39.623229370715215,44.457990208399025,49.866864907207315,46.29988458782457,61.63537030976966,61.23051955519883,57.95231060146003,50.37892003705951,54.3203022891685,58.91941874913585,18.4158,37.277255332098285,46.630924278875575,5.171245031614728,10.375668917082304,17.016388478081353,29.110900000000008,42.5314214269729,17.503558690682468,19.194051552199646,23.00402807778469,24.650399999999998,39.21291814521323,44.30699415510381,49.86823218201836,50.270512573272974,54.186326714289365,58.71078742862527,7.080320000000001,14.160176040075024,7.080310000000002
Cond_BA/StudySeq3,8.61716,17.22601036506928,25.841634641936178,34.143444441980634,40.53024425488742,30.553014346330723,38.370050173423124,34.14375424352288,40.89209451276594,30.849755060542094,41.16348870439873,36.93385308553305,43.92066309556489,50.940452687010634,8.617170000000002,17.233267021119513,25.729774508265574,33.080173257262736,29.135636511044332,38.21750111672144,25.7299620854904,33.20607289514756,28.854576140191057,40.974572275721904,28.342648462422524,35.35273326436935,42.391616893494174,8.617170000000002,17.344014514697598,26.250967377183194,30.035433224740103,39.437482409828846,17.344095969099868,26.181212447945796,29.53075248018659,42.203240150868865,19.730088535259682,26.754183146308694,33.80578670312266,9.467691105280105,20.712112755242742,33.15618196722053,42.39000859051059,9.467691105280107,20.49450740029348,32.63674288470404,45.00547153688628,11.134458198152258,18.190249961482643,25.261421867018903,18.4158,37.325004295330494,43.59454509504015,0.02000000000000001,18.4345848409027,37.592337364664566,46.90576917886126,5.171245031614728,10.438949523907342,17.088271038854167,29.110900000000004,41.087073694331174,18.43487701683133,34.8956376615009,53.17293257945431,62.97981018913877,17.592747475464908,19.0475341112861,22.760624346955886,24.6504,37.340462777892114,53.47210932625495,57.504186328694914,64.85960659501913,39.47751138272838,44.36425634328251,49.81699951813329,43.606425164813224,59.37611808154519,61.17813147298207,59.26073066699349,47.622539271816535,51.508587440961584,56.09426283355492,18.4158,37.57732553069534,46.89178773354827,5.171245031614728,10.438966802284977,17.088233770214448,29.110900000000004,41.297433854809285,17.374440850501372,18.921203810654223,22.638963640933998,24.6504,39.209247042087014,44.29382621962381,49.82929433749965,50.064290800459595,53.86537112723083,58.26183235280188,7.08032,14.160061065037759,7.08031
Cond_BA/StudySeq4,8.61716,17.225984011691875,25.84171673254641,34.1575703147733,40.864427506299954,33.076571626553374,42.78726446731303,34.15793707651353,41.54651721083671,35.395979459780186,50.5650609992036,36.93624603071606,43.90726147081653,50.91049791051604,8.617170000000002,17.233059401910374,25.74072543874615,33.39072018211432,31.350684055237885,42.0797460515282,25.7409621213757,33.80126601392782,32.90988512020179,48.300130924062465,28.34398779865134,35.34001284318032,42.36548279083805,8.617170000000002,17.349723183681586,26.520124598540562,31.736991876430587,42.602884553554745,17.349835962105903,26.668972009027254,32.67556685272531,47.30599411468922,19.730974848708442,26.741983406528316,33.782838513945364,9.467691105280105,20.89164472420808,34.27429963862182,44.77786020283756,9.467691105280105,20.782813978219536,34.75995380491785,48.00792974204547,11.134458198152258,18.181475811385667,25.247347692929544,18.415799999999997,37.594302598831945,45.03311562364939,0.020000000000000035,18.43441521073729,38.3107722258406,47.62100250045933,5.171245031614728,10.388632246364777,17.015347519912567,29.110900000000004,41.951142653022494,18.434790138103153,34.66520081416704,55.107479870699095,65.12957685109357,17.520486416303385,18.838419359942826,22.464542168305556,24.6504,37.61043970034747,54.46702167949659,62.41417793996404,72.1933998015009,39.82661024672092,44.26226496438078,49.34024915922562,45.045568794323444,61.36669748830168,66.45438359087372,68.44047410504362,48.95755805415429,52.13689908266981,56.066073178168836,18.4158,38.29421914090568,47.604876619704434,5.171245031614728,10.388604370248121,17.015258830554476,29.110900000000004,40.34119672706182,17.235029134055583,18.499025188064472,22.04535634116345,24.6504,40.08280436372642,44.4413865129242,49.39172506147479,50.61547663060776,52.94218169848519,56.029184936209724,7.0803199999999995,14.160428863052001,7.080310000000001
Cond_BA/StudySeq5,8.61716,17.2277515379282,25.841343159900397,34.06067197581658,37.86028072952909,34.27926022947449,44.98953755767012,34.06105138687642,37.6422632001878,36.83283489441576,49.936466810206454,36.91496296302878,43.93572976015141,50.982412444489036,8.617170000000002,17.233759028114108,25.661419490591808,30.74543509615232,33.21483274788494,41.93832349796623,25.66165873504351,30.320678721363773,35.2549283132756,46.112634124587316,28.329978435871297,35.37016948688008,42.43084450133959,8.61717,17.316499079821487,24.464777546171735,34.043010641125264,40.0439628595288,17.316599498874503,23.917687237238432,35.67259763510816,43.39591421920135,19.724810940963156,26.778645374088992,33.84860887488236,9.467691105280105,19.884127338959953,36.79934663717956,39.838948418431244,9.467691105280105,19.442971161373766,38.181813724486325,42.34829651771981,11.13445819815226,18.207712902107687,25.286428655642045,18.4158,38.99663134626412,37.01631173992722,0.020000000000000052,18.43544487533293,40.46801987736808,39.203767122140945,5.171245031614728,10.603461504775295,17.302324628841426,29.110900000000008,33.93529127600161,18.435533435136747,36.29309360286247,56.14296824956404,54.75355567096944,18.54967576156636,20.894001219854964,25.077464346280337,24.6504,39.01154252614682,54.06745982771016,60.56391519685025,60.80894260048721,42.188793360104384,46.490425529092036,51.43471714340037,37.026861225898784,50.69574100876525,56.303232279156276,46.97130522524901,41.195717686293015,43.196153377361576,46.27415984895328,18.4158,40.452576539525666,39.19008838450981,5.171245031614728,10.603597694367226,17.302514967386085,29.110900000000008,32.4875132366861,18.636082308216107,21.407995028337982,25.895956377147016,24.6504,43.43405260687317,47.74209391375353,52.69397138225643,42.72810199678502,44.20561573823382,46.80157005164045,7.080320000000001,14.160034649095055,7.080310000000001
Cond_BA/StudySeq6,8.61716,17.228261742613647,25.841438685621995,34.0563527891556,36.85767649404361,29.578666394242763,38.189805229841674,34.05675252193115,37.113896130979896,31.735768648383196,44.719646089577274,36.91370247215735,43.957303406558445,51.019771455743395,8.617170000000002,17.23370280775804,25.657363836000954,29.82119323758885,29.517935825213375,38.63039125645172,25.65762284362073,29.82919668961166,30.98971243052301,43.42036082942315,28.328906093711108,35.38694449539562,42.45832439027777,8.617170000000002,17.318004459337843,23.703384089352905,31.672471125983677,40.440616593021424,17.318117747185294,23.50311161537727,32.59696935503149,43.471838722057626,19.72503508344129,26.792689679143134,33.86916777157172,9.467691105280105,19.43696315627295,35.69907132067774,43.753652047500644,9.467691105280107,19.190844050778924,36.32222097084077,45.17275492893821,11.13445819815226,18.212828413358714,25.291877415748857,18.4158,39.914433414275706,44.941156228615526,0.02000000000000003,18.435370575986894,40.37630421274989,45.037423134123344,5.1712450316147285,10.698169787468537,17.426087755534425,29.110900000000008,40.160698053485724,18.435469881733706,36.16020713219324,54.435518680850414,59.06083026924027,18.722636255214773,21.446263330792323,25.867563904773558,24.6504,39.928614950169425,53.611534847033504,57.51878507653782,62.30094122464221,42.61773048146417,47.78236594827806,53.3982746614598,44.95120316497912,56.89842131346201,57.04289606491145,52.962018654279994,49.19323494764841,53.4897826529676,58.42103781436579,18.4158,40.36196159445124,45.02468692967269,5.1712450316147285,10.69825312520557,17.426219148967682,29.110900000000008,37.68991561561715,18.72754651580138,21.668909755945553,26.265482299190484,24.6504,43.06045592900851,48.17492650485926,53.772093394964415,48.86048503158329,52.2388141135868,56.41216137211508,7.080320000000002,14.159621627034651,7.080310000000001
Cond_BA/StudySeq7,8.617159999999998,17.22810307097395,25.841058961751873,34.042655937634294,37.44715101284756,31.555777082314766,41.412971044263294,34.043074731677606,37.382084681736,32.10453193248836,43.288979319856,36.9100653626196,43.945062761056825,51.00688204670066,8.617170000000002,17.233652258059365,25.646852614777025,30.383566209515102,30.9689899583046,39.773677043343085,25.647126305136503,30.09188042092378,31.16577407394268,41.15939725397615,28.32666706947798,35.377965622673315,42.44851905500488,8.617170000000002,17.31093807791127,24.19330312128757,32.448773310454,39.43886614089082,17.311062785145932,23.74339282172548,32.51901206443013,40.403831065960844,19.72361909460891,26.78612265606107,33.861569939373176,9.467691105280105,19.772541769558753,35.823253727957464,40.723239067042435,9.467691105280105,19.371302095524825,35.99958213202464,41.39972197803124,11.134458198152261,18.210544144618606,25.287898773892216,18.4158,38.85472469006766,39.536286646065555,0.020000000000000018,18.435454051951332,39.394992438601435,40.093140126019044,5.1712450316147285,10.675008129833195,17.41948482384661,29.110900000000004,35.962383494741815,18.435522767687953,36.29786774047096,53.65228978097148,53.314932774292686,18.680817091010645,21.152972365399528,25.41135224343986,24.6504,38.868794004401906,52.90752535738605,55.219565206179304,54.50381816158473,41.90192788307165,46.58802157399892,51.85413576031477,39.54597627038509,51.81893604182681,52.989539071907856,43.2222069857142,43.763497503977696,46.73306072775887,50.63580334451239,18.4158,39.381045594497564,40.08221418043412,5.1712450316147285,10.675133258893771,17.41967383108706,29.110900000000004,35.348117342507855,18.754750995190516,21.616268234549242,26.169808202543592,24.6504,42.3923329524108,47.31779855549546,52.80197757529308,44.239992578670474,47.17359004566191,51.081506056322716,7.08032,14.158463775964947,7.080310000000002
Cond_BA/StudySeq8,8.61716,17.2280849167106,25.84158647090208,34.06790558649811,37.97266851471821,35.31045117323959,47.033627207494675,34.06832103539098,37.6529353834663,34.81602739602659,47.77861422479223,36.9163820121659,43.95097596059255,51.0114896645565,8.617170000000002,17.233798088215067,25.666957085774047,30.8500844317736,34.1881658475733,44.43306891073493,25.667229800595404,30.32636675151088,33.56721008513581,45.796841571609214,28.330857586067072,35.38184318921183,42.45185217377583,8.61717,17.322538018442337,24.554772866488555,34.91707045566737,42.96173266640943,17.322667709775796,23.918388026140736,34.50033511396284,45.06613875072213,19.725865607136004,26.788073413951896,33.863636093080565,9.467691105280107,19.95097197796028,37.51641292160684,43.06978353508064,9.467691105280107,19.429542307193216,37.50533580147016,45.9213493795244,11.134458198152258,18.21093774185798,25.28963450080422,18.4158,39.696788763631865,40.62092672418544,0.019999999999999855,18.435427809750493,40.80581261752414,44.86282010100848,5.171245031614728,10.656767662355906,17.38913425307317,29.110900000000004,36.01479291561651,18.435525485816125,36.27866508179081,56.04281280789982,59.7296395248732,18.527462242446763,20.80409832909994,24.945435682661618,24.6504,39.71216806276279,54.969179589242195,62.14889235416168,64.05206790666901,42.68833087598978,46.87796994523195,51.73502991491922,40.6324035161827,54.64331872272882,61.73802090815885,54.81068443856355,44.66389517207375,46.767205443604816,49.9035545000204,18.4158,40.79065493536295,44.849500453904746,5.1712450316147285,10.656949504076628,17.389384766459347,29.110900000000004,37.21664279503222,18.634488721403926,21.436584571084186,25.949830452624447,24.6504,43.4075766603545,48.0891336191358,53.33625871675726,48.512909714768156,51.21002532608451,54.79963242779454,7.080320000000001,14.159002452766927,7.080310000000001
Cond_BA/StudySeq9,8.61716,17.224517912636628,25.84052305769214,34.16556324617714,39.90805058049296,32.260507616145155,42.24760055145174,34.165922877037175,39.6530738097507,31.07607798227583,42.49242084295396,36.93624205806504,43.910224291520926,50.93097474466737,8.617170000000002,17.232664664126965,25.752569541886018,32.5123086361081,30.83970815550388,41.470017780128785,25.752824207967166,32.11968339894552,29.60164297161143,42.6460049807233,28.34472932367761,35.344025968331835,42.38432951375443,8.617170000000002,17.3546995927163,25.805632879962115,31.585361680285356,41.887111625357974,17.354833584956776,25.319761218288868,30.614045183946704,44.159084319564144,19.731371721889015,26.744409610415758,33.79696365938136,9.467691105280105,20.496528932938556,34.48490861187163,43.99432131922432,9.467691105280105,20.06271257116605,33.95170446389732,47.32998654725827,11.13445819815226,18.18264720066747,25.25478724596072,18.4158,37.94069084624817,44.07382449602197,0.019999999999999987,18.435048010191153,38.62231621569632,49.15952601834135,5.171245031614728,10.393265632234327,17.053567066760134,29.110900000000008,40.88690250539254,18.43504833038952,35.489129277853216,54.174676615972785,64.72159081970459,17.783285215869753,19.40935331710681,23.204064450038626,24.6504,37.95628874059426,53.916957220533696,58.871464660672004,65.25446430043952,40.36674132182639,44.894467404377544,50.06103844624032,44.08558350273597,59.05165295835164,62.298262266968074,59.80388399233437,48.099774005495895,51.21027120779533,55.161789802655306,18.4158,38.6074290574316,49.14643774372563,5.171245031614727,10.393396086399031,17.053691564158395,29.110900000000008,43.26263136731357,17.86530733235262,19.9417012281889,23.98585835417262,24.6504,40.64723851572832,45.73853326334517,51.30202656562309,52.80976599668756,56.7592097374121,61.32681937277058,7.080320000000002,14.159680514386094,7.080310000000001
Cond_BA/StudySeq10,8.61716,17.224635612377345,25.841145433462973,34.20148630733046,39.15327295002684,27.29495377946072,36.281307662420375,34.20183742724915,38.90349474201323,29.268578340631997,38.67029992013547,36.94387319173356,43.93294240338135,50.968977262250945,8.617170000000002,17.23212401905262,25.779465868684728,31.808387928775133,26.517190349663007,34.47068709265922,25.77973183913829,31.446862685647172,28.180843097142112,37.23372355453542,28.348601139849645,35.359396500462765,42.41075285483516,8.61717,17.368524501481552,25.22895271218578,28.33452197469138,34.24251615469508,17.36866453990391,24.761672328933365,29.643547308731517,37.286373744062615,19.7338600992488,26.75480807406009,33.81474477338838,9.467691105280105,20.158772244692276,32.367609226254345,36.217167405378305,9.467691105280105,19.737010157265818,33.43573251867408,39.399470270654454,11.134458198152258,18.186328945197165,25.261246701172617,18.4158,37.152755956884484,36.34186391184532,0.019999999999999993,18.43515524475126,38.34333245643615,40.00217161616298,5.171245031614728,10.415401927546153,17.093894880622752,29.110900000000008,34.3556423479239,18.4351848505439,35.70865104607549,53.17778145825023,55.15321346063474,17.958925770641407,19.938587528169847,23.97845598511117,24.6504,37.16684100275939,51.65939971874167,53.51102818735248,55.82713452372974,39.561043762817555,44.829519664026975,50.602655002993984,36.352924679153176,50.90362483123881,53.5766391542014,46.0648230269379,40.64674870738831,44.16866066180527,48.62096758068576,18.4158,38.32922028727299,39.98995273927661,5.1712450316147285,10.415424650102993,17.093852504866348,29.110900000000008,35.6806691340426,18.049727311789468,20.360626705191663,24.52395100276175,24.6504,40.5732063211699,45.82295409900457,51.50378819154656,43.9588317240154,47.49687084008764,51.83769185033174,7.080320000000002,14.159078481601282,7.080310000000001
