,Mean_Appropriateness_Score
Cond_BA/StudySeq1,36.48
Cond_BA/StudySeq2,38.791666666666664
Cond_BA/StudySeq3,28.0
Cond_BA/StudySeq4,44.21739130434783
Cond_BA/StudySeq5,44.4
Cond_BA/StudySeq6,46.04
Cond_BA/StudySeq7,55.541666666666664
Cond_BA/StudySeq8,39.2
Cond_BA/StudySeq9,50.05
Cond_BA/StudySeq10,43.875
Cond_BA/StudySeq11,46.57142857142857
Cond_BA/StudySeq12,36.785714285714285
Cond_BA/StudySeq13,43.69565217391305
Cond_BA/StudySeq14,40.916666666666664
Cond_BA/StudySeq15,31.166666666666668
Cond_BA/StudySeq16,46.91304347826087
Cond_BA/StudySeq17,30.814814814814813
Cond_BA/StudySeq18,40.785714285714285
Cond_BA/StudySeq19,52.791666666666664
Cond_BA/StudySeq20,41.724137931034484
Cond_BA/StudySeq21,25.48
Cond_BA/StudySeq22,44.04347826086956
Cond_BA/StudySeq23,43.148148148148145
Cond_BA/StudySeq24,28.555555555555557
Cond_BA/StudySeq25,42.2
Cond_BA/StudySeq26,38.96
Cond_BA/StudySeq27,45.61538461538461
Cond_BA/StudySeq28,35.03846153846154
Cond_BA/StudySeq29,45.206896551724135
Cond_BA/StudySeq30,38.73076923076923
Cond_BA/StudySeq31,30.869565217391305
Cond_BA/StudySeq32,35.583333333333336
Cond_BA/StudySeq33,47.92307692307692
Cond_BA/StudySeq34,34.24
Cond_BA/StudySeq35,37.74074074074074
Cond_BA/StudySeq36,45.892857142857146
Cond_BA/StudySeq37,32.38461538461539
Cond_BA/StudySeq38,40.827586206896555
Cond_BA/StudySeq39,42.32
Cond_BA/StudySeq40,43.592592592592595
Cond_BT/StudySeq1,32.23076923076923
Cond_BT/StudySeq2,38.0
Cond_BT/StudySeq3,33.91304347826087
Cond_BT/StudySeq4,57.72
Cond_BT/StudySeq5,46.92857142857143
Cond_BT/StudySeq6,46.32
Cond_BT/StudySeq7,57.44444444444444
Cond_BT/StudySeq8,32.78260869565217
Cond_BT/StudySeq9,37.03703703703704
Cond_BT/StudySeq10,35.36
Cond_BT/StudySeq11,57.4
Cond_BT/StudySeq12,43.08
Cond_BT/StudySeq13,25.23076923076923
Cond_BT/StudySeq14,45.08
Cond_BT/StudySeq15,41.34615384615385
Cond_BT/StudySeq16,61.1
Cond_BT/StudySeq17,40.56521739130435
Cond_BT/StudySeq18,30.689655172413794
Cond_BT/StudySeq19,45.458333333333336
Cond_BT/StudySeq20,39.357142857142854
Cond_BT/StudySeq21,18.178571428571427
Cond_BT/StudySeq22,22.925925925925927
Cond_BT/StudySeq23,44.0
Cond_BT/StudySeq24,31.76
Cond_BT/StudySeq25,32.56521739130435
Cond_BT/StudySeq26,36.65384615384615
Cond_BT/StudySeq27,40.53846153846154
Cond_BT/StudySeq28,36.0
Cond_BT/StudySeq29,40.241379310344826
Cond_BT/StudySeq30,37.22727272727273
Cond_BT/StudySeq31,40.869565217391305
Cond_BT/StudySeq32,30.4
Cond_BT/StudySeq33,34.708333333333336
Cond_BT/StudySeq34,36.28
Cond_BT/StudySeq35,37.214285714285715
Cond_BT/StudySeq36,33.74193548387097
Cond_BT/StudySeq37,28.26923076923077
Cond_BT/StudySeq38,36.72
Cond_BT/StudySeq39,46.92307692307692
Cond_BT/StudySeq40,35.06896551724138
Cond_N/StudySeq1,76.33333333333333
Cond_N/StudySeq2,80.25
Cond_N/StudySeq3,83.48387096774194
Cond_N/StudySeq4,60.516129032258064
Cond_N/StudySeq5,69.40625
Cond_N/StudySeq6,63.39393939393939
Cond_N/StudySeq7,50.7
Cond_N/StudySeq8,58.0
Cond_N/StudySeq9,78.25806451612904
Cond_N/StudySeq10,74.41935483870968
Cond_N/StudySeq11,82.40625
Cond_N/StudySeq12,73.53333333333333
Cond_N/StudySeq13,85.3225806451613
Cond_N/StudySeq14,58.43333333333333
Cond_N/StudySeq15,81.75
Cond_N/StudySeq16,69.48387096774194
Cond_N/StudySeq17,78.06666666666666
Cond_N/StudySeq18,88.0
Cond_N/StudySeq19,79.4
Cond_N/StudySeq20,64.15151515151516
Cond_N/StudySeq21,80.9375
Cond_N/StudySeq22,44.60606060606061
Cond_N/StudySeq23,47.375
Cond_N/StudySeq24,37.266666666666666
Cond_N/StudySeq25,41.064516129032256
Cond_N/StudySeq26,85.93548387096774
Cond_N/StudySeq27,83.76666666666667
Cond_N/StudySeq28,87.86666666666666
Cond_N/StudySeq29,83.9375
Cond_N/StudySeq30,84.59375
Cond_N/StudySeq31,82.96666666666667
Cond_N/StudySeq32,87.26666666666667
Cond_N/StudySeq33,89.2258064516129
Cond_N/StudySeq34,85.64516129032258
Cond_N/StudySeq35,89.625
Cond_N/StudySeq36,77.21212121212122
Cond_N/StudySeq37,82.13333333333334
Cond_N/StudySeq38,64.84848484848484
Cond_N/StudySeq39,77.7741935483871
Cond_N/StudySeq40,84.19354838709677
Cond_M/StudySeq1,66.16666666666667
Cond_M/StudySeq2,71.4375
Cond_M/StudySeq3,47.58064516129032
Cond_M/StudySeq4,68.51612903225806
Cond_M/StudySeq5,59.15625
Cond_M/StudySeq6,69.66666666666667
Cond_M/StudySeq7,28.333333333333332
Cond_M/StudySeq8,46.125
Cond_M/StudySeq9,48.61290322580645
Cond_M/StudySeq10,46.41935483870968
Cond_M/StudySeq11,47.375
Cond_M/StudySeq12,37.833333333333336
Cond_M/StudySeq13,23.06451612903226
Cond_M/StudySeq14,41.733333333333334
Cond_M/StudySeq15,52.0
Cond_M/StudySeq16,41.74193548387097
Cond_M/StudySeq17,49.06666666666667
Cond_M/StudySeq18,49.57575757575758
Cond_M/StudySeq19,49.7
Cond_M/StudySeq20,36.39393939393939
Cond_M/StudySeq21,69.625
Cond_M/StudySeq22,59.45454545454545
Cond_M/StudySeq23,67.03125
Cond_M/StudySeq24,49.36666666666667
Cond_M/StudySeq25,68.19354838709677
Cond_M/StudySeq26,52.83870967741935
Cond_M/StudySeq27,21.7
Cond_M/StudySeq28,61.56666666666667
Cond_M/StudySeq29,39.40625
Cond_M/StudySeq30,59.46875
Cond_M/StudySeq31,69.4
Cond_M/StudySeq32,64.23333333333333
Cond_M/StudySeq33,53.225806451612904
Cond_M/StudySeq34,49.225806451612904
Cond_M/StudySeq35,71.125
Cond_M/StudySeq36,44.63636363636363
Cond_M/StudySeq37,55.03333333333333
Cond_M/StudySeq38,68.06060606060606
Cond_M/StudySeq39,68.2258064516129
Cond_M/StudySeq40,55.38709677419355
Cond_SA/StudySeq1,47.857142857142854
Cond_SA/StudySeq2,43.61538461538461
Cond_SA/StudySeq3,37.67857142857143
Cond_SA/StudySeq4,55.52
Cond_SA/StudySeq5,25.59090909090909
Cond_SA/StudySeq6,49.03333333333333
Cond_SA/StudySeq7,46.25
Cond_SA/StudySeq8,37.23076923076923
Cond_SA/StudySeq9,30.25
Cond_SA/StudySeq10,34.12
Cond_SA/StudySeq11,48.52173913043478
Cond_SA/StudySeq12,46.21739130434783
Cond_SA/StudySeq13,36.25
Cond_SA/StudySeq14,38.96153846153846
Cond_SA/StudySeq15,30.8
Cond_SA/StudySeq16,36.592592592592595
Cond_SA/StudySeq17,41.48
Cond_SA/StudySeq18,40.791666666666664
Cond_SA/StudySeq19,41.42307692307692
Cond_SA/StudySeq20,31.925925925925927
Cond_SA/StudySeq21,28.37037037037037
Cond_SA/StudySeq22,29.074074074074073
Cond_SA/StudySeq23,33.0
Cond_SA/StudySeq24,16.4
Cond_SA/StudySeq25,20.464285714285715
Cond_SA/StudySeq26,36.833333333333336
Cond_SA/StudySeq27,42.72727272727273
Cond_SA/StudySeq28,38.42307692307692
Cond_SA/StudySeq29,36.75
Cond_SA/StudySeq30,33.03703703703704
Cond_SA/StudySeq31,47.78260869565217
Cond_SA/StudySeq32,27.434782608695652
Cond_SA/StudySeq33,36.42857142857143
Cond_SA/StudySeq34,32.666666666666664
Cond_SA/StudySeq35,44.96153846153846
Cond_SA/StudySeq36,32.214285714285715
Cond_SA/StudySeq37,25.615384615384617
Cond_SA/StudySeq38,36.774193548387096
Cond_SA/StudySeq39,29.25
Cond_SA/StudySeq40,33.0
Cond_SB/StudySeq1,52.869565217391305
Cond_SB/StudySeq2,45.77777777777778
Cond_SB/StudySeq3,36.0
Cond_SB/StudySeq4,61.5
Cond_SB/StudySeq5,38.793103448275865
Cond_SB/StudySeq6,35.083333333333336
Cond_SB/StudySeq7,52.88
Cond_SB/StudySeq8,56.785714285714285
Cond_SB/StudySeq9,54.53846153846154
Cond_SB/StudySeq10,44.23076923076923
Cond_SB/StudySeq11,51.592592592592595
Cond_SB/StudySeq12,39.19230769230769
Cond_SB/StudySeq13,47.82608695652174
Cond_SB/StudySeq14,52.30769230769231
Cond_SB/StudySeq15,52.73076923076923
Cond_SB/StudySeq16,37.869565217391305
Cond_SB/StudySeq17,54.95238095238095
Cond_SB/StudySeq18,38.38095238095238
Cond_SB/StudySeq19,32.44827586206897
Cond_SB/StudySeq20,38.32
Cond_SB/StudySeq21,46.96
Cond_SB/StudySeq22,42.57692307692308
Cond_SB/StudySeq23,41.57692307692308
Cond_SB/StudySeq24,36.851851851851855
Cond_SB/StudySeq25,43.75
Cond_SB/StudySeq26,42.392857142857146
Cond_SB/StudySeq27,30.0
Cond_SB/StudySeq28,42.88
Cond_SB/StudySeq29,46.36666666666667
Cond_SB/StudySeq30,41.142857142857146
Cond_SB/StudySeq31,41.36
Cond_SB/StudySeq32,51.958333333333336
Cond_SB/StudySeq33,49.875
Cond_SB/StudySeq34,27.791666666666668
Cond_SB/StudySeq35,33.0
Cond_SB/StudySeq36,46.375
Cond_SB/StudySeq37,40.16
Cond_SB/StudySeq38,37.46153846153846
Cond_SB/StudySeq39,27.681818181818183
Cond_SB/StudySeq40,34.09090909090909
Cond_SC/StudySeq1,48.44
Cond_SC/StudySeq2,28.555555555555557
Cond_SC/StudySeq3,41.2
Cond_SC/StudySeq4,50.72727272727273
Cond_SC/StudySeq5,48.370370370370374
Cond_SC/StudySeq6,54.9
Cond_SC/StudySeq7,48.0
Cond_SC/StudySeq8,51.416666666666664
Cond_SC/StudySeq9,60.875
Cond_SC/StudySeq10,48.0
Cond_SC/StudySeq11,59.0
Cond_SC/StudySeq12,53.5
Cond_SC/StudySeq13,60.0
Cond_SC/StudySeq14,43.04
Cond_SC/StudySeq15,48.0
Cond_SC/StudySeq16,59.76923076923077
Cond_SC/StudySeq17,42.56
Cond_SC/StudySeq18,44.34615384615385
Cond_SC/StudySeq19,64.28
Cond_SC/StudySeq20,50.370370370370374
Cond_SC/StudySeq21,45.89655172413793
Cond_SC/StudySeq22,51.16
Cond_SC/StudySeq23,57.32
Cond_SC/StudySeq24,54.166666666666664
Cond_SC/StudySeq25,50.28
Cond_SC/StudySeq26,57.74074074074074
Cond_SC/StudySeq27,53.857142857142854
Cond_SC/StudySeq28,55.43478260869565
Cond_SC/StudySeq29,43.35
Cond_SC/StudySeq30,43.125
Cond_SC/StudySeq31,56.76923076923077
Cond_SC/StudySeq32,52.458333333333336
Cond_SC/StudySeq33,39.214285714285715
Cond_SC/StudySeq34,45.36363636363637
Cond_SC/StudySeq35,47.0
Cond_SC/StudySeq36,46.18518518518518
Cond_SC/StudySeq37,46.08
Cond_SC/StudySeq38,58.19230769230769
Cond_SC/StudySeq39,62.074074074074076
Cond_SC/StudySeq40,52.407407407407405
Cond_SD/StudySeq1,51.0
Cond_SD/StudySeq2,45.19230769230769
Cond_SD/StudySeq3,51.0
Cond_SD/StudySeq4,56.53846153846154
Cond_SD/StudySeq5,49.0
Cond_SD/StudySeq6,53.22222222222222
Cond_SD/StudySeq7,68.0909090909091
Cond_SD/StudySeq8,56.392857142857146
Cond_SD/StudySeq9,50.888888888888886
Cond_SD/StudySeq10,43.2
Cond_SD/StudySeq11,59.18518518518518
Cond_SD/StudySeq12,63.61538461538461
Cond_SD/StudySeq13,48.233333333333334
Cond_SD/StudySeq14,40.0
Cond_SD/StudySeq15,43.19230769230769
Cond_SD/StudySeq16,43.81481481481482
Cond_SD/StudySeq17,33.25
Cond_SD/StudySeq18,56.310344827586206
Cond_SD/StudySeq19,50.833333333333336
Cond_SD/StudySeq20,45.666666666666664
Cond_SD/StudySeq21,52.13793103448276
Cond_SD/StudySeq22,54.96153846153846
Cond_SD/StudySeq23,48.035714285714285
Cond_SD/StudySeq24,40.391304347826086
