,Mean_Appropriateness_Score
StudySeq1,32.23076923076923
StudySeq2,38.0
StudySeq3,33.91304347826087
StudySeq4,57.72
StudySeq5,46.92857142857143
StudySeq6,46.32
StudySeq7,57.44444444444444
StudySeq8,32.78260869565217
StudySeq9,37.03703703703704
StudySeq10,35.36
StudySeq11,57.4
StudySeq12,43.08
StudySeq13,25.23076923076923
StudySeq14,45.08
StudySeq15,41.34615384615385
StudySeq16,61.1
StudySeq17,40.56521739130435
StudySeq18,30.689655172413794
StudySeq19,45.458333333333336
StudySeq20,39.357142857142854
StudySeq21,18.178571428571427
StudySeq22,22.925925925925927
StudySeq23,44.0
StudySeq24,31.76
StudySeq25,32.56521739130435
StudySeq26,36.65384615384615
StudySeq27,40.53846153846154
StudySeq28,36.0
StudySeq29,40.241379310344826
StudySeq30,37.22727272727273
StudySeq31,40.869565217391305
StudySeq32,30.4
StudySeq33,34.708333333333336
StudySeq34,36.28
StudySeq35,37.214285714285715
StudySeq36,33.74193548387097
StudySeq37,28.26923076923077
StudySeq38,36.72
StudySeq39,46.92307692307692
StudySeq40,35.06896551724138
