,Mean_Human_Likeness_Score
StudySeq1,54.57142857142857
StudySeq2,56.370370370370374
StudySeq3,39.56
StudySeq4,56.30769230769231
StudySeq5,65.81481481481481
StudySeq6,52.291666666666664
StudySeq7,64.53571428571429
StudySeq8,47.86363636363637
StudySeq9,49.888888888888886
StudySeq10,50.5
StudySeq11,52.30769230769231
StudySeq12,50.26923076923077
StudySeq13,49.84615384615385
StudySeq14,57.458333333333336
StudySeq15,54.76923076923077
StudySeq16,66.52631578947368
StudySeq17,56.68181818181818
StudySeq18,62.57692307692308
StudySeq19,55.083333333333336
StudySeq20,43.25
StudySeq21,51.370370370370374
StudySeq22,48.36
StudySeq23,58.125
StudySeq24,45.5
StudySeq25,62.54545454545455
StudySeq26,61.23076923076923
StudySeq27,56.142857142857146
StudySeq28,50.5
StudySeq29,54.642857142857146
StudySeq30,55.52173913043478
StudySeq31,60.333333333333336
StudySeq32,67.76923076923077
StudySeq33,50.916666666666664
StudySeq34,54.57692307692308
StudySeq35,59.57692307692308
StudySeq36,48.15625
StudySeq37,49.82142857142857
StudySeq38,58.46153846153846
StudySeq39,57.107142857142854
StudySeq40,51.689655172413794
