,Mean_Appropriateness_Score
StudySeq1,66.16666666666667
StudySeq2,71.4375
StudySeq3,47.58064516129032
StudySeq4,68.51612903225806
StudySeq5,59.15625
StudySeq6,69.66666666666667
StudySeq7,28.333333333333332
StudySeq8,46.125
StudySeq9,48.61290322580645
StudySeq10,46.41935483870968
StudySeq11,47.375
StudySeq12,37.833333333333336
StudySeq13,23.06451612903226
StudySeq14,41.733333333333334
StudySeq15,52.0
StudySeq16,41.74193548387097
StudySeq17,49.06666666666667
StudySeq18,49.57575757575758
StudySeq19,49.7
StudySeq20,36.39393939393939
StudySeq21,69.625
StudySeq22,59.45454545454545
StudySeq23,67.03125
StudySeq24,49.36666666666667
StudySeq25,68.19354838709677
StudySeq26,52.83870967741935
StudySeq27,21.7
StudySeq28,61.56666666666667
StudySeq29,39.40625
StudySeq30,59.46875
StudySeq31,69.4
StudySeq32,64.23333333333333
StudySeq33,53.225806451612904
StudySeq34,49.225806451612904
StudySeq35,71.125
StudySeq36,44.63636363636363
StudySeq37,55.03333333333333
StudySeq38,68.06060606060606
StudySeq39,68.2258064516129
StudySeq40,55.38709677419355
