,Mean_Appropriateness_Score
StudySeq1,76.33333333333333
StudySeq2,80.25
StudySeq3,83.48387096774194
StudySeq4,60.516129032258064
StudySeq5,69.40625
StudySeq6,63.39393939393939
StudySeq7,50.7
StudySeq8,58.0
StudySeq9,78.25806451612904
StudySeq10,74.41935483870968
StudySeq11,82.40625
StudySeq12,73.53333333333333
StudySeq13,85.3225806451613
StudySeq14,58.43333333333333
StudySeq15,81.75
StudySeq16,69.48387096774194
StudySeq17,78.06666666666666
StudySeq18,88.0
StudySeq19,79.4
StudySeq20,64.15151515151516
StudySeq21,80.9375
StudySeq22,44.60606060606061
StudySeq23,47.375
StudySeq24,37.266666666666666
StudySeq25,41.064516129032256
StudySeq26,85.93548387096774
StudySeq27,83.76666666666667
StudySeq28,87.86666666666666
StudySeq29,83.9375
StudySeq30,84.59375
StudySeq31,82.96666666666667
StudySeq32,87.26666666666667
StudySeq33,89.2258064516129
StudySeq34,85.64516129032258
StudySeq35,89.625
StudySeq36,77.21212121212122
StudySeq37,82.13333333333334
StudySeq38,64.84848484848484
StudySeq39,77.7741935483871
StudySeq40,84.19354838709677
