,Mean_Human_Likeness_Score
StudySeq1,80.19354838709677
StudySeq2,84.03030303030303
StudySeq3,79.1875
StudySeq4,69.0625
StudySeq5,59.45161290322581
StudySeq6,67.8125
StudySeq7,58.53125
StudySeq8,41.74193548387097
StudySeq9,67.75
StudySeq10,66.93103448275862
StudySeq11,68.0625
StudySeq12,48.32258064516129
StudySeq13,56.40625
StudySeq14,55.03448275862069
StudySeq15,60.25
StudySeq16,56.58064516129032
StudySeq17,68.53333333333333
StudySeq18,79.13333333333334
StudySeq19,77.06666666666666
StudySeq20,61.32258064516129
StudySeq21,71.03333333333333
StudySeq22,80.0
StudySeq23,71.78125
StudySeq24,71.93333333333334
StudySeq25,72.90322580645162
StudySeq26,75.63333333333334
StudySeq27,68.5625
StudySeq28,49.0
StudySeq29,35.689655172413794
StudySeq30,68.54838709677419
StudySeq31,75.83870967741936
StudySeq32,70.83870967741936
StudySeq33,76.90322580645162
StudySeq34,68.375
StudySeq35,82.33333333333333
StudySeq36,81.3529411764706
StudySeq37,64.3125
StudySeq38,57.794117647058826
StudySeq39,73.84848484848484
StudySeq40,80.58064516129032
