,Mean_Appropriateness_Score
StudySeq1,47.857142857142854
StudySeq2,43.61538461538461
StudySeq3,37.67857142857143
StudySeq4,55.52
StudySeq5,25.59090909090909
StudySeq6,49.03333333333333
StudySeq7,46.25
StudySeq8,37.23076923076923
StudySeq9,30.25
StudySeq10,34.12
StudySeq11,48.52173913043478
StudySeq12,46.21739130434783
StudySeq13,36.25
StudySeq14,38.96153846153846
StudySeq15,30.8
StudySeq16,36.592592592592595
StudySeq17,41.48
StudySeq18,40.791666666666664
StudySeq19,41.42307692307692
StudySeq20,31.925925925925927
StudySeq21,28.37037037037037
StudySeq22,29.074074074074073
StudySeq23,33.0
StudySeq24,16.4
StudySeq25,20.464285714285715
StudySeq26,36.833333333333336
StudySeq27,42.72727272727273
StudySeq28,38.42307692307692
StudySeq29,36.75
StudySeq30,33.03703703703704
StudySeq31,47.78260869565217
StudySeq32,27.434782608695652
StudySeq33,36.42857142857143
StudySeq34,32.666666666666664
StudySeq35,44.96153846153846
StudySeq36,32.214285714285715
StudySeq37,25.615384615384617
StudySeq38,36.774193548387096
StudySeq39,29.25
StudySeq40,33.0
