,Mean_Human_Likeness_Score
StudySeq1,48.90909090909091
StudySeq2,47.0
StudySeq3,37.37931034482759
StudySeq4,46.03846153846154
StudySeq5,39.0
StudySeq6,45.333333333333336
StudySeq7,44.38461538461539
StudySeq8,32.04
StudySeq9,28.291666666666668
StudySeq10,34.0
StudySeq11,51.125
StudySeq12,44.91304347826087
StudySeq13,37.76923076923077
StudySeq14,45.88
StudySeq15,35.96
StudySeq16,35.77777777777778
StudySeq17,44.36
StudySeq18,48.63636363636363
StudySeq19,41.61538461538461
StudySeq20,31.53846153846154
StudySeq21,40.72
StudySeq22,38.36
StudySeq23,42.12
StudySeq24,37.458333333333336
StudySeq25,38.214285714285715
StudySeq26,42.36363636363637
StudySeq27,43.78260869565217
StudySeq28,37.58620689655172
StudySeq29,36.22727272727273
StudySeq30,38.84615384615385
StudySeq31,43.208333333333336
StudySeq32,32.44
StudySeq33,34.642857142857146
StudySeq34,29.266666666666666
StudySeq35,39.24
StudySeq36,44.06896551724138
StudySeq37,40.44444444444444
StudySeq38,41.1875
StudySeq39,34.57692307692308
StudySeq40,55.35
