,Mean_Appropriateness_Score
StudySeq1,52.869565217391305
StudySeq2,45.77777777777778
StudySeq3,36.0
StudySeq4,61.5
StudySeq5,38.793103448275865
StudySeq6,35.083333333333336
StudySeq7,52.88
StudySeq8,56.785714285714285
StudySeq9,54.53846153846154
StudySeq10,44.23076923076923
StudySeq11,51.592592592592595
StudySeq12,39.19230769230769
StudySeq13,47.82608695652174
StudySeq14,52.30769230769231
StudySeq15,52.73076923076923
StudySeq16,37.869565217391305
StudySeq17,54.95238095238095
StudySeq18,38.38095238095238
StudySeq19,32.44827586206897
StudySeq20,38.32
StudySeq21,46.96
StudySeq22,42.57692307692308
StudySeq23,41.57692307692308
StudySeq24,36.851851851851855
StudySeq25,43.75
StudySeq26,42.392857142857146
StudySeq27,30.0
StudySeq28,42.88
StudySeq29,46.36666666666667
StudySeq30,41.142857142857146
StudySeq31,41.36
StudySeq32,51.958333333333336
StudySeq33,49.875
StudySeq34,27.791666666666668
StudySeq35,33.0
StudySeq36,46.375
StudySeq37,40.16
StudySeq38,37.46153846153846
StudySeq39,27.681818181818183
StudySeq40,34.09090909090909
