,Mean_Human_Likeness_Score
StudySeq1,49.791666666666664
StudySeq2,49.74074074074074
StudySeq3,45.80769230769231
StudySeq4,62.93103448275862
StudySeq5,57.07142857142857
StudySeq6,53.21739130434783
StudySeq7,58.407407407407405
StudySeq8,53.892857142857146
StudySeq9,54.03703703703704
StudySeq10,50.07692307692308
StudySeq11,55.18518518518518
StudySeq12,57.035714285714285
StudySeq13,50.47826086956522
StudySeq14,63.88
StudySeq15,51.57692307692308
StudySeq16,41.43478260869565
StudySeq17,60.78260869565217
StudySeq18,55.68421052631579
StudySeq19,50.62068965517241
StudySeq20,48.869565217391305
StudySeq21,55.47826086956522
StudySeq22,62.08
StudySeq23,41.30769230769231
StudySeq24,52.592592592592595
StudySeq25,54.714285714285715
StudySeq26,50.888888888888886
StudySeq27,57.57692307692308
StudySeq28,58.666666666666664
StudySeq29,55.629629629629626
StudySeq30,57.03703703703704
StudySeq31,46.541666666666664
StudySeq32,47.95454545454545
StudySeq33,55.56
StudySeq34,30.16
StudySeq35,52.34615384615385
StudySeq36,50.24
StudySeq37,46.74074074074074
StudySeq38,50.0
StudySeq39,59.291666666666664
StudySeq40,54.90909090909091
