,Mean_Appropriateness_Score
StudySeq1,48.44
StudySeq2,28.555555555555557
StudySeq3,41.2
StudySeq4,50.72727272727273
StudySeq5,48.370370370370374
StudySeq6,54.9
StudySeq7,48.0
StudySeq8,51.416666666666664
StudySeq9,60.875
StudySeq10,48.0
StudySeq11,59.0
StudySeq12,53.5
StudySeq13,60.0
StudySeq14,43.04
StudySeq15,48.0
StudySeq16,59.76923076923077
StudySeq17,42.56
StudySeq18,44.34615384615385
StudySeq19,64.28
StudySeq20,50.370370370370374
StudySeq21,45.89655172413793
StudySeq22,51.16
StudySeq23,57.32
StudySeq24,54.166666666666664
StudySeq25,50.28
StudySeq26,57.74074074074074
StudySeq27,53.857142857142854
StudySeq28,55.43478260869565
StudySeq29,43.35
StudySeq30,43.125
StudySeq31,56.76923076923077
StudySeq32,52.458333333333336
StudySeq33,39.214285714285715
StudySeq34,45.36363636363637
StudySeq35,47.0
StudySeq36,46.18518518518518
StudySeq37,46.08
StudySeq38,58.19230769230769
StudySeq39,62.074074074074076
StudySeq40,52.407407407407405
