,Mean_Human_Likeness_Score
StudySeq1,64.6
StudySeq2,58.111111111111114
StudySeq3,64.3076923076923
StudySeq4,54.08695652173913
StudySeq5,39.76
StudySeq6,51.535714285714285
StudySeq7,47.785714285714285
StudySeq8,50.17391304347826
StudySeq9,55.64
StudySeq10,57.91304347826087
StudySeq11,65.11538461538461
StudySeq12,43.916666666666664
StudySeq13,56.392857142857146
StudySeq14,45.541666666666664
StudySeq15,60.785714285714285
StudySeq16,51.61538461538461
StudySeq17,46.96
StudySeq18,49.875
StudySeq19,58.708333333333336
StudySeq20,42.68
StudySeq21,63.03846153846154
StudySeq22,60.47826086956522
StudySeq23,56.541666666666664
StudySeq24,54.391304347826086
StudySeq25,60.84615384615385
StudySeq26,66.88461538461539
StudySeq27,61.689655172413794
StudySeq28,58.92
StudySeq29,61.705882352941174
StudySeq30,51.90909090909091
StudySeq31,66.66666666666667
StudySeq32,63.19230769230769
StudySeq33,50.89655172413793
StudySeq34,52.95652173913044
StudySeq35,51.91304347826087
StudySeq36,50.964285714285715
StudySeq37,55.370370370370374
StudySeq38,60.55555555555556
StudySeq39,61.58620689655172
StudySeq40,52.18518518518518
