,Mean_Appropriateness_Score
StudySeq1,51.0
StudySeq2,45.19230769230769
StudySeq3,51.0
StudySeq4,56.53846153846154
StudySeq5,49.0
StudySeq6,53.22222222222222
StudySeq7,68.0909090909091
StudySeq8,56.392857142857146
StudySeq9,50.888888888888886
StudySeq10,43.2
StudySeq11,59.18518518518518
StudySeq12,63.61538461538461
StudySeq13,48.233333333333334
StudySeq14,40.0
StudySeq15,43.19230769230769
StudySeq16,43.81481481481482
StudySeq17,33.25
StudySeq18,56.310344827586206
StudySeq19,50.833333333333336
StudySeq20,45.666666666666664
StudySeq21,52.13793103448276
StudySeq22,54.96153846153846
StudySeq23,48.035714285714285
StudySeq24,40.391304347826086
StudySeq25,42.875
StudySeq26,54.73913043478261
StudySeq27,42.833333333333336
StudySeq28,39.03448275862069
StudySeq29,48.11538461538461
StudySeq30,59.833333333333336
StudySeq31,48.34782608695652
StudySeq32,39.16
StudySeq33,43.77777777777778
StudySeq34,44.407407407407405
StudySeq35,30.045454545454547
StudySeq36,46.083333333333336
StudySeq37,46.333333333333336
StudySeq38,48.92307692307692
StudySeq39,44.375
StudySeq40,34.56
