,Mean_Human_Likeness_Score
StudySeq1,65.92
StudySeq2,51.03703703703704
StudySeq3,65.92857142857143
StudySeq4,67.5
StudySeq5,56.55
StudySeq6,54.5
StudySeq7,58.65217391304348
StudySeq8,60.44444444444444
StudySeq9,62.82142857142857
StudySeq10,66.45833333333333
StudySeq11,64.29629629629629
StudySeq12,64.51851851851852
StudySeq13,55.064516129032256
StudySeq14,55.59090909090909
StudySeq15,61.42307692307692
StudySeq16,61.22222222222222
StudySeq17,64.69565217391305
StudySeq18,59.53846153846154
StudySeq19,62.48
StudySeq20,56.785714285714285
StudySeq21,36.77777777777778
StudySeq22,57.12
StudySeq23,58.892857142857146
StudySeq24,56.291666666666664
StudySeq25,54.291666666666664
StudySeq26,54.18181818181818
StudySeq27,59.4
StudySeq28,57.935483870967744
StudySeq29,58.47826086956522
StudySeq30,60.76
StudySeq31,67.28
StudySeq32,58.42307692307692
StudySeq33,62.25925925925926
StudySeq34,52.32142857142857
StudySeq35,52.142857142857146
StudySeq36,64.95833333333333
StudySeq37,53.36842105263158
StudySeq38,66.62962962962963
StudySeq39,52.61538461538461
StudySeq40,49.833333333333336
