,Mean_Appropriateness_Score
StudySeq1,47.130434782608695
StudySeq2,52.56521739130435
StudySeq3,35.61904761904762
StudySeq4,50.07692307692308
StudySeq5,50.666666666666664
StudySeq6,38.51851851851852
StudySeq7,41.44444444444444
StudySeq8,39.44827586206897
StudySeq9,40.56
StudySeq10,41.04
StudySeq11,55.11538461538461
StudySeq12,47.714285714285715
StudySeq13,52.44444444444444
StudySeq14,48.44444444444444
StudySeq15,49.07142857142857
StudySeq16,54.44827586206897
StudySeq17,48.19230769230769
StudySeq18,46.93103448275862
StudySeq19,43.92
StudySeq20,45.22727272727273
StudySeq21,48.17391304347826
StudySeq22,32.55172413793103
StudySeq23,41.77777777777778
StudySeq24,44.13636363636363
StudySeq25,61.34615384615385
StudySeq26,43.82608695652174
StudySeq27,58.22727272727273
StudySeq28,44.34782608695652
StudySeq29,40.0
StudySeq30,44.266666666666666
StudySeq31,43.714285714285715
StudySeq32,36.22222222222222
StudySeq33,42.77272727272727
StudySeq34,52.84
StudySeq35,43.09090909090909
StudySeq36,41.6
StudySeq37,38.28
StudySeq38,54.67857142857143
StudySeq39,48.03703703703704
StudySeq40,48.416666666666664
