,Speed_of_Left_Hand_Perpendicular_to_Spine,Speed_of_Right_Hand_Perpendicular_to_Spine
Cond_BA/StudySeq1,0.5282694065516165,0.5856459104449759
Cond_BA/StudySeq2,0.6086500666269471,0.4545393911899253
Cond_BA/StudySeq3,0.5205105844925441,0.5432877849873865
Cond_BA/StudySeq4,0.6269021262969098,0.6562193433233685
Cond_BA/StudySeq5,0.42187971757298126,0.36070892094533125
Cond_BA/StudySeq6,0.5702556486769945,0.6754839893423609
Cond_BA/StudySeq7,0.5955161744891562,0.5144785294472899
Cond_BA/StudySeq8,0.4770444263428513,0.44049073727355387
Cond_BA/StudySeq9,0.5668553437058124,0.6242617479596612
Cond_BA/StudySeq10,0.4178073741430002,0.5737821123125024
Cond_BA/StudySeq11,0.5041875528815573,0.5426762555361652
Cond_BA/StudySeq12,0.617278080241164,0.568397843678218
Cond_BA/StudySeq13,0.46332076840099135,0.6012012689342056
Cond_BA/StudySeq14,0.4591568302794155,0.5631591491401118
Cond_BA/StudySeq15,0.46265459752616334,0.5844093391158929
Cond_BA/StudySeq16,0.559190913517924,0.5159668487263326
Cond_BA/StudySeq17,0.6202840527725484,0.4962299819225586
Cond_BA/StudySeq18,0.4834852875494272,0.5075697403317599
Cond_BA/StudySeq19,0.5083043002039922,0.47133552356635755
Cond_BA/StudySeq20,0.5963417317157678,0.5081820302960844
Cond_BA/StudySeq21,0.5856352051965736,0.602238046494086
Cond_BA/StudySeq22,0.5380561629531136,0.4956591525804663
Cond_BA/StudySeq23,0.6476066697466135,0.6316911430405976
Cond_BA/StudySeq24,0.5658670943668557,0.5243586172665584
Cond_BA/StudySeq25,0.5507985978910983,0.4505081554772733
Cond_BA/StudySeq26,0.5159132234258391,0.5468015782273663
Cond_BA/StudySeq27,0.5510676084330987,0.656180408667818
Cond_BA/StudySeq28,0.5650627608892902,0.5161695941116703
Cond_BA/StudySeq29,0.5355779776647159,0.45924460671093686
Cond_BA/StudySeq30,0.4950954515908568,0.5598015041949491
Cond_BA/StudySeq31,0.5303888827430275,0.672030160453041
Cond_BA/StudySeq32,0.650902107533854,0.5123588583192649
Cond_BA/StudySeq33,0.5871945026544881,0.5263221281029579
Cond_BA/StudySeq34,0.5844043209157125,0.5348995382195825
Cond_BA/StudySeq35,0.6239403557057966,0.4440039981074065
Cond_BA/StudySeq36,0.6314912558235453,0.6238216551441027
Cond_BA/StudySeq37,0.6084023229504749,0.3662295498105927
Cond_BA/StudySeq38,0.6065659165605172,0.4607265001847396
Cond_BA/StudySeq39,0.4477313209045259,0.4894564766314019
Cond_BA/StudySeq40,0.5872156573761285,0.3710606810321568
Cond_BT/StudySeq1,0.5963305556039635,0.5983110931203629
Cond_BT/StudySeq2,0.4416922334044904,0.62272156055133
Cond_BT/StudySeq3,0.5678669203645814,0.6418580548873463
Cond_BT/StudySeq4,0.5459574145301522,0.5777741042596383
Cond_BT/StudySeq5,0.6016553212926491,0.41125936131529267
Cond_BT/StudySeq6,0.5062465718026287,0.45264629492974
Cond_BT/StudySeq7,0.37684641145797515,0.4971230543707458
Cond_BT/StudySeq8,0.5100436092269157,0.5649510309541242
Cond_BT/StudySeq9,0.5252167288417849,0.5826866457196872
Cond_BT/StudySeq10,0.416779772423101,0.6451050874875971
Cond_BT/StudySeq11,0.6703509955742466,0.6400552852536576
Cond_BT/StudySeq12,0.55195849986425,0.5868690043077717
Cond_BT/StudySeq13,0.6662009050308285,0.5576456459216788
Cond_BT/StudySeq14,0.4432681990854422,0.4238304676446084
Cond_BT/StudySeq15,0.3279084087467376,0.5803705668061978
Cond_BT/StudySeq16,0.7167053635741766,0.6067287035516474
Cond_BT/StudySeq17,0.49511304782771454,0.41699799158698087
Cond_BT/StudySeq18,0.6141727560137413,0.6730759022167558
Cond_BT/StudySeq19,0.8299204991109643,0.747682012716983
Cond_BT/StudySeq20,0.6135307664250295,0.6379703116511107
Cond_BT/StudySeq21,0.4153609703145688,0.5062565927534262
Cond_BT/StudySeq22,0.6896098872839577,0.6328647787951879
Cond_BT/StudySeq23,0.6463973607452951,0.6472724158017051
Cond_BT/StudySeq24,0.6691731104070232,0.625962843147107
Cond_BT/StudySeq25,0.726931977919211,0.6554696575246279
Cond_BT/StudySeq26,0.606458659368677,0.5467273593950026
Cond_BT/StudySeq27,0.5347822815618142,0.5695925809579827
