,Velocity_of_Hands_Moving_Towards_Each_Other
Cond_BA/StudySeq1,0.4685447187191267
Cond_BA/StudySeq2,0.4363713681713689
Cond_BA/StudySeq3,0.5663208227084487
Cond_BA/StudySeq4,0.4280627288499741
Cond_BA/StudySeq5,0.5137418060597418
Cond_BA/StudySeq6,0.535017622951367
Cond_BA/StudySeq7,0.632022005049872
Cond_BA/StudySeq8,0.4943057976372799
Cond_BA/StudySeq9,0.4998895907500107
Cond_BA/StudySeq10,0.5230496086068842
Cond_BA/StudySeq11,0.44766013830652407
Cond_BA/StudySeq12,0.35695327736991195
Cond_BA/StudySeq13,0.4764476239536073
Cond_BA/StudySeq14,0.4194467352781213
Cond_BA/StudySeq15,0.31855588654034395
Cond_BA/StudySeq16,0.5914057398974892
Cond_BA/StudySeq17,0.46358023167868917
Cond_BA/StudySeq18,0.5112392370963512
Cond_BA/StudySeq19,0.5204473105358782
Cond_BA/StudySeq20,0.388189829767469
Cond_BA/StudySeq21,0.5293860492461988
Cond_BA/StudySeq22,0.34815178030876004
Cond_BA/StudySeq23,0.5303087606357694
Cond_BA/StudySeq24,0.425425147022601
Cond_BA/StudySeq25,0.4617333412986148
Cond_BA/StudySeq26,0.4730615989631659
Cond_BA/StudySeq27,0.4294155580752341
Cond_BA/StudySeq28,0.5375618576958986
Cond_BA/StudySeq29,0.4394889380369731
Cond_BA/StudySeq30,0.5316970367151193
Cond_BA/StudySeq31,0.38932070584502637
Cond_BA/StudySeq32,0.7332783869305173
Cond_BA/StudySeq33,0.3961410108336697
Cond_BA/StudySeq34,0.5659109931659485
Cond_BA/StudySeq35,0.4588293364007137
Cond_BA/StudySeq36,0.43893789761068763
Cond_BA/StudySeq37,0.3948215672905972
Cond_BA/StudySeq38,0.5538719001315294
Cond_BA/StudySeq39,0.45739607969217605
Cond_BA/StudySeq40,0.4509350214619035
Cond_BT/StudySeq1,0.633171227259299
Cond_BT/StudySeq2,0.6445434423635359
Cond_BT/StudySeq3,0.3637814715086099
Cond_BT/StudySeq4,0.6478638876607007
Cond_BT/StudySeq5,0.24033624150332053
Cond_BT/StudySeq6,0.6815977678607857
Cond_BT/StudySeq7,0.3415432520792777
Cond_BT/StudySeq8,0.5014160847168151
Cond_BT/StudySeq9,0.398878442121221
Cond_BT/StudySeq10,0.5810651036384766
Cond_BT/StudySeq11,0.572772913147874
Cond_BT/StudySeq12,0.7488842485753614
Cond_BT/StudySeq13,0.3723247077386726
Cond_BT/StudySeq14,0.6393176585800455
Cond_BT/StudySeq15,0.4965506917676713
Cond_BT/StudySeq16,0.37504367512976516
Cond_BT/StudySeq17,0.8024909022866391
Cond_BT/StudySeq18,0.4612118029128547
Cond_BT/StudySeq19,0.2970515625008377
Cond_BT/StudySeq20,0.8139559121382889
Cond_BT/StudySeq21,0.5674108584162012
Cond_BT/StudySeq22,0.4691418692180929
Cond_BT/StudySeq23,0.4914766901644639
Cond_BT/StudySeq24,0.39131194703059885
Cond_BT/StudySeq25,0.38264926437175706
Cond_BT/StudySeq26,0.4038229829881732
Cond_BT/StudySeq27,0.41189003183700207
Cond_BT/StudySeq28,0.40067055807155794
Cond_BT/StudySeq29,0.4829700442155634
Cond_BT/StudySeq30,0.36121709633860416
Cond_BT/StudySeq31,0.5084474061939411
Cond_BT/StudySeq32,0.7410840603364545
Cond_BT/StudySeq33,0.4352822209449522
Cond_BT/StudySeq34,0.6431694761196147
Cond_BT/StudySeq35,0.2621982358538999
Cond_BT/StudySeq36,0.6021822912514566
Cond_BT/StudySeq37,0.4412692940206426
Cond_BT/StudySeq38,0.23505744440650705
Cond_BT/StudySeq39,0.717952088840976
Cond_BT/StudySeq40,0.5244481509608131
Cond_N/StudySeq1,0.4580324346719772
Cond_N/StudySeq2,0.5127429257978428
Cond_N/StudySeq3,0.557543030363235
Cond_N/StudySeq4,0.4595410786556882
Cond_N/StudySeq5,0.4761214986534007
Cond_N/StudySeq6,0.6426319656859923
Cond_N/StudySeq7,0.5826766985115067
Cond_N/StudySeq8,0.3825715232902831
Cond_N/StudySeq9,0.4703216787819927
Cond_N/StudySeq10,0.4347242625791915
Cond_N/StudySeq11,0.5695233269063653
Cond_N/StudySeq12,0.5229491276008147
Cond_N/StudySeq13,0.5216834082791858
Cond_N/StudySeq14,0.5444089449678104
Cond_N/StudySeq15,0.6125410702250352
Cond_N/StudySeq16,0.564552870281439
Cond_N/StudySeq17,0.5809941698670084
Cond_N/StudySeq18,0.6022471933062883
Cond_N/StudySeq19,0.4728676199730492
Cond_N/StudySeq20,0.5764994112913654
Cond_N/StudySeq21,0.5923699357777249
Cond_N/StudySeq22,0.5534523097506365
Cond_N/StudySeq23,0.474066492637617
Cond_N/StudySeq24,0.6089363641957056
Cond_N/StudySeq25,0.41342398153348153
Cond_N/StudySeq26,0.5284692118155626
Cond_N/StudySeq27,0.45028327701205856
Cond_N/StudySeq28,0.582093627542354
