,Mean_Human_Likeness_Score
Cond_BA/StudySeq1,38.15384615384615
Cond_BA/StudySeq2,41.03846153846154
Cond_BA/StudySeq3,43.46153846153846
Cond_BA/StudySeq4,34.458333333333336
Cond_BA/StudySeq5,52.275862068965516
Cond_BA/StudySeq6,44.833333333333336
Cond_BA/StudySeq7,53.88461538461539
Cond_BA/StudySeq8,47.0
Cond_BA/StudySeq9,49.04761904761905
Cond_BA/StudySeq10,46.95454545454545
Cond_BA/StudySeq11,52.74074074074074
Cond_BA/StudySeq12,38.32142857142857
Cond_BA/StudySeq13,36.391304347826086
Cond_BA/StudySeq14,42.73913043478261
Cond_BA/StudySeq15,45.47826086956522
Cond_BA/StudySeq16,50.708333333333336
Cond_BA/StudySeq17,50.666666666666664
Cond_BA/StudySeq18,49.80769230769231
Cond_BA/StudySeq19,41.791666666666664
Cond_BA/StudySeq20,40.888888888888886
Cond_BA/StudySeq21,46.68
Cond_BA/StudySeq22,42.36363636363637
Cond_BA/StudySeq23,47.96296296296296
Cond_BA/StudySeq24,46.107142857142854
Cond_BA/StudySeq25,59.0
Cond_BA/StudySeq26,52.0
Cond_BA/StudySeq27,46.607142857142854
Cond_BA/StudySeq28,47.370370370370374
Cond_BA/StudySeq29,50.111111111111114
Cond_BA/StudySeq30,50.88
Cond_BA/StudySeq31,51.291666666666664
Cond_BA/StudySeq32,50.96
Cond_BA/StudySeq33,44.24
Cond_BA/StudySeq34,44.56
Cond_BA/StudySeq35,49.76
Cond_BA/StudySeq36,41.172413793103445
Cond_BA/StudySeq37,38.035714285714285
Cond_BA/StudySeq38,50.233333333333334
Cond_BA/StudySeq39,41.56
Cond_BA/StudySeq40,43.857142857142854
Cond_BT/StudySeq1,54.57142857142857
Cond_BT/StudySeq2,56.370370370370374
Cond_BT/StudySeq3,39.56
Cond_BT/StudySeq4,56.30769230769231
Cond_BT/StudySeq5,65.81481481481481
Cond_BT/StudySeq6,52.291666666666664
Cond_BT/StudySeq7,64.53571428571429
Cond_BT/StudySeq8,47.86363636363637
Cond_BT/StudySeq9,49.888888888888886
Cond_BT/StudySeq10,50.5
Cond_BT/StudySeq11,52.30769230769231
Cond_BT/StudySeq12,50.26923076923077
Cond_BT/StudySeq13,49.84615384615385
Cond_BT/StudySeq14,57.458333333333336
Cond_BT/StudySeq15,54.76923076923077
Cond_BT/StudySeq16,66.52631578947368
Cond_BT/StudySeq17,56.68181818181818
Cond_BT/StudySeq18,62.57692307692308
Cond_BT/StudySeq19,55.083333333333336
Cond_BT/StudySeq20,43.25
Cond_BT/StudySeq21,51.370370370370374
Cond_BT/StudySeq22,48.36
Cond_BT/StudySeq23,58.125
Cond_BT/StudySeq24,45.5
Cond_BT/StudySeq25,62.54545454545455
Cond_BT/StudySeq26,61.23076923076923
Cond_BT/StudySeq27,56.142857142857146
Cond_BT/StudySeq28,50.5
Cond_BT/StudySeq29,54.642857142857146
Cond_BT/StudySeq30,55.52173913043478
Cond_BT/StudySeq31,60.333333333333336
Cond_BT/StudySeq32,67.76923076923077
Cond_BT/StudySeq33,50.916666666666664
Cond_BT/StudySeq34,54.57692307692308
Cond_BT/StudySeq35,59.57692307692308
Cond_BT/StudySeq36,48.15625
Cond_BT/StudySeq37,49.82142857142857
Cond_BT/StudySeq38,58.46153846153846
Cond_BT/StudySeq39,57.107142857142854
Cond_BT/StudySeq40,51.689655172413794
Cond_N/StudySeq1,80.19354838709677
Cond_N/StudySeq2,84.03030303030303
Cond_N/StudySeq3,79.1875
Cond_N/StudySeq4,69.0625
Cond_N/StudySeq5,59.45161290322581
Cond_N/StudySeq6,67.8125
Cond_N/StudySeq7,58.53125
Cond_N/StudySeq8,41.74193548387097
Cond_N/StudySeq9,67.75
Cond_N/StudySeq10,66.93103448275862
Cond_N/StudySeq11,68.0625
Cond_N/StudySeq12,48.32258064516129
Cond_N/StudySeq13,56.40625
Cond_N/StudySeq14,55.03448275862069
Cond_N/StudySeq15,60.25
Cond_N/StudySeq16,56.58064516129032
Cond_N/StudySeq17,68.53333333333333
Cond_N/StudySeq18,79.13333333333334
Cond_N/StudySeq19,77.06666666666666
Cond_N/StudySeq20,61.32258064516129
Cond_N/StudySeq21,71.03333333333333
Cond_N/StudySeq22,80.0
Cond_N/StudySeq23,71.78125
Cond_N/StudySeq24,71.93333333333334
Cond_N/StudySeq25,72.90322580645162
Cond_N/StudySeq26,75.63333333333334
Cond_N/StudySeq27,68.5625
Cond_N/StudySeq28,49.0
Cond_N/StudySeq29,35.689655172413794
Cond_N/StudySeq30,68.54838709677419
Cond_N/StudySeq31,75.83870967741936
Cond_N/StudySeq32,70.83870967741936
Cond_N/StudySeq33,76.90322580645162
Cond_N/StudySeq34,68.375
Cond_N/StudySeq35,82.33333333333333
Cond_N/StudySeq36,81.3529411764706
Cond_N/StudySeq37,64.3125
Cond_N/StudySeq38,57.794117647058826
Cond_N/StudySeq39,73.84848484848484
Cond_N/StudySeq40,80.58064516129032
Cond_SA/StudySeq1,48.90909090909091
Cond_SA/StudySeq2,47.0
Cond_SA/StudySeq3,37.37931034482759
Cond_SA/StudySeq4,46.03846153846154
Cond_SA/StudySeq5,39.0
Cond_SA/StudySeq6,45.333333333333336
Cond_SA/StudySeq7,44.38461538461539
Cond_SA/StudySeq8,32.04
Cond_SA/StudySeq9,28.291666666666668
Cond_SA/StudySeq10,34.0
Cond_SA/StudySeq11,51.125
Cond_SA/StudySeq12,44.91304347826087
Cond_SA/StudySeq13,37.76923076923077
Cond_SA/StudySeq14,45.88
Cond_SA/StudySeq15,35.96
Cond_SA/StudySeq16,35.77777777777778
Cond_SA/StudySeq17,44.36
Cond_SA/StudySeq18,48.63636363636363
Cond_SA/StudySeq19,41.61538461538461
Cond_SA/StudySeq20,31.53846153846154
Cond_SA/StudySeq21,40.72
Cond_SA/StudySeq22,38.36
Cond_SA/StudySeq23,42.12
Cond_SA/StudySeq24,37.458333333333336
Cond_SA/StudySeq25,38.214285714285715
Cond_SA/StudySeq26,42.36363636363637
Cond_SA/StudySeq27,43.78260869565217
Cond_SA/StudySeq28,37.58620689655172
Cond_SA/StudySeq29,36.22727272727273
Cond_SA/StudySeq30,38.84615384615385
Cond_SA/StudySeq31,43.208333333333336
Cond_SA/StudySeq32,32.44
Cond_SA/StudySeq33,34.642857142857146
Cond_SA/StudySeq34,29.266666666666666
Cond_SA/StudySeq35,39.24
Cond_SA/StudySeq36,44.06896551724138
Cond_SA/StudySeq37,40.44444444444444
Cond_SA/StudySeq38,41.1875
Cond_SA/StudySeq39,34.57692307692308
Cond_SA/StudySeq40,55.35
Cond_SB/StudySeq1,49.791666666666664
Cond_SB/StudySeq2,49.74074074074074
Cond_SB/StudySeq3,45.80769230769231
Cond_SB/StudySeq4,62.93103448275862
Cond_SB/StudySeq5,57.07142857142857
Cond_SB/StudySeq6,53.21739130434783
Cond_SB/StudySeq7,58.407407407407405
Cond_SB/StudySeq8,53.892857142857146
Cond_SB/StudySeq9,54.03703703703704
Cond_SB/StudySeq10,50.07692307692308
Cond_SB/StudySeq11,55.18518518518518
Cond_SB/StudySeq12,57.035714285714285
Cond_SB/StudySeq13,50.47826086956522
Cond_SB/StudySeq14,63.88
Cond_SB/StudySeq15,51.57692307692308
Cond_SB/StudySeq16,41.43478260869565
Cond_SB/StudySeq17,60.78260869565217
Cond_SB/StudySeq18,55.68421052631579
Cond_SB/StudySeq19,50.62068965517241
Cond_SB/StudySeq20,48.869565217391305
Cond_SB/StudySeq21,55.47826086956522
Cond_SB/StudySeq22,62.08
Cond_SB/StudySeq23,41.30769230769231
Cond_SB/StudySeq24,52.592592592592595
Cond_SB/StudySeq25,54.714285714285715
Cond_SB/StudySeq26,50.888888888888886
Cond_SB/StudySeq27,57.57692307692308
Cond_SB/StudySeq28,58.666666666666664
