Unnamed: 0,Mean_Human_Likeness_Score
Cond_BA/StudySeq1,52.9
Cond_BA/StudySeq2,53.5
Cond_BA/StudySeq3,44.5
Cond_BA/StudySeq4,43.3
Cond_BA/StudySeq5,50.5
Cond_BA/StudySeq6,59.3
Cond_BA/StudySeq7,59.8
Cond_BA/StudySeq8,61.2
Cond_BA/StudySeq9,51.5
Cond_BA/StudySeq10,53.4
Cond_BA/StudySeq11,59.6
Cond_BA/StudySeq12,44.0
Cond_BA/StudySeq13,54.0
Cond_BA/StudySeq14,61.1
Cond_BA/StudySeq15,53.1
Cond_BA/StudySeq16,58.4
Cond_BA/StudySeq17,50.5
Cond_BA/StudySeq18,61.0
Cond_BA/StudySeq19,48.9
Cond_BA/StudySeq20,52.0
Cond_N/StudySeq1,83.2
Cond_N/StudySeq2,86.4
Cond_N/StudySeq3,89.5
Cond_N/StudySeq4,77.0
Cond_N/StudySeq5,78.5
Cond_N/StudySeq6,80.1
Cond_N/StudySeq7,70.6
Cond_N/StudySeq8,52.6
Cond_N/StudySeq9,77.0
Cond_N/StudySeq10,75.9
Cond_N/StudySeq11,84.5
Cond_N/StudySeq12,43.7
Cond_N/StudySeq13,59.0
Cond_N/StudySeq14,66.7
Cond_N/StudySeq15,54.1
Cond_N/StudySeq16,66.0
Cond_N/StudySeq17,71.4
Cond_N/StudySeq18,78.8
Cond_N/StudySeq19,75.2
Cond_N/StudySeq20,63.8
Cond_SC/StudySeq1,65.1
Cond_SC/StudySeq2,54.1
Cond_SC/StudySeq3,57.7
Cond_SC/StudySeq4,67.0
Cond_SC/StudySeq5,52.5
Cond_SC/StudySeq6,66.9
Cond_SC/StudySeq7,63.5
Cond_SC/StudySeq8,60.2
Cond_SC/StudySeq9,70.0
Cond_SC/StudySeq10,63.7
Cond_SC/StudySeq11,70.0
Cond_SC/StudySeq12,49.4
Cond_SC/StudySeq13,61.5
Cond_SC/StudySeq14,45.4
Cond_SC/StudySeq15,65.1
Cond_SC/StudySeq16,69.3
Cond_SC/StudySeq17,69.5
Cond_SC/StudySeq18,57.3
Cond_SC/StudySeq19,52.4
Cond_SC/StudySeq20,53.2
