,StudySeq,Mean_Spectral_Centroid
0,StudySeq1,1725.0130423452604
1,StudySeq2,1810.4996046041306
2,StudySeq3,2114.46759374784
3,StudySeq4,1874.6523995638977
4,StudySeq5,1730.831084773959
5,StudySeq6,1630.8340025040225
6,StudySeq7,1877.702724639106
7,StudySeq8,1604.7355746840842
8,StudySeq9,1882.6993646130625
9,StudySeq10,1694.8556443873342
10,StudySeq11,1719.2622878882648
11,StudySeq12,1866.3714034331983
12,StudySeq13,1681.921911282104
13,StudySeq14,1801.3424583420776
14,StudySeq15,1505.700245169597
15,StudySeq16,1705.437414306026
16,StudySeq17,1921.0849225591548
17,StudySeq18,1559.9596365402235
18,StudySeq19,1688.7004024721089
19,StudySeq20,1825.205613962561
20,StudySeq21,1901.338768707931
21,StudySeq22,1835.5522554145184
22,StudySeq23,1871.8538879483137
23,StudySeq24,2144.5837827242876
24,StudySeq25,2001.9693385683295
25,StudySeq26,1508.6334385023645
26,StudySeq27,1638.1826448516942
27,StudySeq28,1780.3705468988132
28,StudySeq29,1911.6588483285577
29,StudySeq30,1832.3276776240064
30,StudySeq31,1752.81151666722
31,StudySeq32,1799.9815648539711
32,StudySeq33,1628.9705118736622
33,StudySeq34,1741.4432572961534
34,StudySeq35,1462.523967992415
35,StudySeq36,1580.6945613473017
36,StudySeq37,1653.4328231030765
37,StudySeq38,1774.3604118035234
38,StudySeq39,1627.13260289982
39,StudySeq40,1677.7480026077722
