M/StudySeq, M/total_length, M/length_without_duplicates, M/additional_duplicate_frames, Matching N/StudySeq
1, 9.30, 9.30, 0, 2
2, 10.85, 10.80, 1, 3
3, 7.65, 7.60, 1, 4
4, 8.55, 8.50, 1, 5 
5, 9.45, 9.40, 1, 6
6, 10.15, 10.10, 1, 7
7, 10.05, 10.00, 1, 8
8, 10.05, 10.00, 1, 9
9, 9.85, 9.80, 1, 10
10, 9.85, 9.80, 1, 11
11, 9.85, 9.80, 1, 12
12, 11.95, 11.90, 1, 13
13, 8.45, 8.40, 1, 14
14, 11.85, 11.80, 1, 15
15, 9.60, 9.60, 0, 16 
16, 12.75, 12.70, 1, 17
17, 9.75, 9.70, 1, 18
18, 12.50, 12.50, 0, 19
19, 12.45, 12.40, 1, 20
20, 11.45, 11.40, 1, 21
21, 11.15, 11.10, 1, 22
22, 7.95, 7.90, 1, 23
23, 9.55, 9.50, 1, 24
24, 10.15, 10.10, 1, 25
25, 11.05, 11.00, 1, 26
26, 10.35, 10.30, 1, 27
27, 8.45, 8.40, 1, 28
28, 9.45, 9.40, 1, 29
29, 10.75, 10.70, 1, 30
30, 11.15, 11.10, 1, 31
31, 8.55, 8.50, 1, 32
32, 10.90, 10.90, 0, 33
33, 9.55, 9.50, 1, 34
34, 10.15, 10.10, 1, 35
35, 10.45, 10.40, 1, 36
36, 10.60, 10.60, 0, 37
37, 10.60, 10.60, 0, 38
38, 7.40, 7.40, 0, 39
39, 9.55, 7.20, 47, 40
40, 7.25, 7.20, 1, 1
