,Spine_RMS_Distance_Score,Spine1_RMS_Distance_Score,Spine2_RMS_Distance_Score,Spine3_RMS_Distance_Score,LeftShoulder_RMS_Distance_Score,LeftArm_RMS_Distance_Score,LeftForeArm_RMS_Distance_Score,LeftHand_RMS_Distance_Score,RightShoulder_RMS_Distance_Score,RightArm_RMS_Distance_Score,RightForeArm_RMS_Distance_Score,RightHand_RMS_Distance_Score,Neck_RMS_Distance_Score,Neck1_RMS_Distance_Score,Head_RMS_Distance_Score
Cond_BA/StudySeq1,0.46772985685502283,0.46131758011930857,0.454539917026597,0.44405487299616164,0.42559924510646324,0.42634016142708475,0.20855708540180137,0.31896837269086387,0.4256608797734877,0.4776335074463855,0.4829578186878582,0.667381670408406,0.42786959144695264,0.41889832773543617,0.4211067123684568
Cond_BA/StudySeq2,0.46772985685502283,0.49569341660624516,0.5210341787824362,0.5405154362947789,0.5391594965630366,0.5666819855762356,0.19496628593411167,0.2862987144313162,0.5391884775312459,0.6010290178323218,0.49476864949092747,0.6951738356669876,0.5506251151223435,0.5441790334617114,0.5472116677244914
Cond_BA/StudySeq3,0.46772985685502283,0.45725116963947415,0.44408395751529417,0.4245069021494004,0.39540086209815795,0.40584377434312835,0.272817453661416,0.6006159045460396,0.39546154418239565,0.4239015377058421,0.4965656478303325,0.6848837652318563,0.39441345090064894,0.3817938750185866,0.3837394793464894
Cond_BA/StudySeq4,0.46772985685502283,0.46899836205886186,0.46971713666129505,0.4649301924444803,0.4529667580815138,0.4462157103048416,0.17709839907466235,0.20010178542578677,0.45301622851548856,0.5425353058160941,0.4919914793539428,0.6789673172441882,0.45428394464469507,0.45295589067095016,0.4653950729127713
Cond_BA/StudySeq5,0.46772985685502283,0.46282471473611086,0.4575392143258894,0.4483858602431898,0.4287950565041503,0.42185973533758275,0.18989205261605968,0.25943856069247684,0.42884539734008686,0.47860708544756925,0.4810864321428287,0.6690345631670926,0.42989753607614056,0.4197629734233261,0.42249433176772394
Cond_BA/StudySeq6,0.46772985685502283,0.45163162164665777,0.43613872763646666,0.41689572026097926,0.393866612826919,0.3979574585949034,0.19285313500685522,0.2520075500490883,0.39393261213407355,0.45082808850621936,0.4717738476765407,0.6744990775084974,0.39129786082377854,0.380495885892169,0.38208749154536825
Cond_BA/StudySeq7,0.46772985685502283,0.4692609462203336,0.46996453010887806,0.4673419019365001,0.456160218987899,0.46706911276729174,0.2042880304699492,0.2370104754925708,0.45620734224846055,0.5465019824882736,0.48897046175134534,0.6664198578559937,0.4581591523683269,0.44802700925405686,0.4478732495924322
Cond_BA/StudySeq8,0.46772985685502283,0.4520615826905511,0.4368489491964104,0.4172100945921845,0.3923333803985293,0.3832427140928561,0.18156084467584097,0.23322373134935528,0.39239518359140163,0.46654435594727806,0.48387179792522383,0.6730298012758461,0.3886265483463671,0.3773534751500609,0.37741375364954505
Cond_BA/StudySeq9,0.46772985685502283,0.46216140694402014,0.45843419366982224,0.44935562859366385,0.4264374351262051,0.4143833932618622,0.2186562785952835,0.27749598804012016,0.42651149021403534,0.4922623513767852,0.48235940121268955,0.6835435116510203,0.42724488941879685,0.4177908860424945,0.41767894777384973
Cond_BA/StudySeq10,0.46772985685502283,0.4556491478621414,0.44259086509399637,0.42650910849335444,0.4129954279015113,0.3847779675016052,0.1710112029483682,0.238829066918507,0.4130552999847627,0.4606398505193251,0.4801033541484141,0.6607007006979827,0.410259686055124,0.4049411958650261,0.40976323115437957
