,Spine_RMS_Distance_Score,Spine1_RMS_Distance_Score,Spine2_RMS_Distance_Score,Spine3_RMS_Distance_Score,LeftShoulder_RMS_Distance_Score,LeftArm_RMS_Distance_Score,LeftForeArm_RMS_Distance_Score,LeftHand_RMS_Distance_Score,RightShoulder_RMS_Distance_Score,RightArm_RMS_Distance_Score,RightForeArm_RMS_Distance_Score,RightHand_RMS_Distance_Score,Neck_RMS_Distance_Score,Neck1_RMS_Distance_Score,Head_RMS_Distance_Score
Cond_BA/StudySeq1,0.0,0.08463999053120906,0.08493246312561317,0.10788582064121557,0.1889091108437554,0.18962083660339102,0.22439330955881714,0.30843389241017777,0.30966180991868997,0.3590832839530224,0.42035028200166236,0.4333201710468296,0.48358445226506847,0.5310924835114283,0.7669849030310595
Cond_BA/StudySeq2,0.0,0.07789402066427518,0.07822284211245865,0.10042782614996372,0.17076480701131605,0.17136225080441334,0.2032739344090454,0.2744886256570294,0.2751325500780298,0.31674290237981806,0.3953883690456973,0.4029507134851662,0.44216648721837937,0.48956859897205307,0.6100785000387885
Cond_BA/StudySeq3,0.0,0.045675968628403375,0.045855842840824404,0.06086663060633957,0.10395113302940137,0.10423342323749746,0.1252003224626916,0.172156528018581,0.1724622730463476,0.19974872421875348,0.24224373375192879,0.2468353790725962,0.2735899057838037,0.3181272515410372,0.40685081560634095
Cond_BA/StudySeq4,0.0,0.04030396056907567,0.04052124092507143,0.05698318101922144,0.09445646330863108,0.09470066242454461,0.11821867500684517,0.15790255506183098,0.15817545684480683,0.1909534888949202,0.2314830259267354,0.23679546412180702,0.26907751031007404,0.3055754647983715,0.3860887028229228
Cond_BA/StudySeq5,0.0,0.027572352422024562,0.02837293533297712,0.04527092015945758,0.0683320278631316,0.06931735682738922,0.08980769915835297,0.11479008091503969,0.11604610390307867,0.14071240311865338,0.17792248706316305,0.18529860180426358,0.20565617573889036,0.192286609105354,0.33147907784257824
Cond_BA/StudySeq6,0.0,0.03334577787252548,0.034113808012195414,0.04903234932923772,0.07900525033390655,0.07993168157633147,0.0994522830059192,0.1312118710121472,0.13237496479968205,0.1562085465738352,0.1934777743242252,0.20026382791465583,0.22086784111531987,0.21483079907628885,0.32406027825138656
Cond_BA/StudySeq7,0.0,0.029999173161678765,0.031392246562645214,0.055673047010760826,0.08036848456812888,0.08191235785837127,0.11164205876221106,0.13822166707104047,0.14030247025733525,0.17901710772012158,0.21174080313331572,0.2236954122583223,0.25645015497761986,0.2302634474542128,0.3876324524714767
Cond_BA/StudySeq8,0.0,0.03728338927416208,0.03844719644631416,0.05677020591489574,0.08943807613827473,0.09107046632026362,0.11524072251778461,0.1491322233001837,0.1514611829821463,0.1842758644285437,0.23158676268044184,0.24426508653169904,0.27288845764473474,0.2555347846177402,0.4587455927144174
Cond_BA/StudySeq9,0.0,0.048398728203741345,0.048616275163355205,0.06576570135466148,0.10718274593557515,0.10751011705109527,0.12902541751284305,0.17065333577038755,0.17104988651376848,0.19907605824820965,0.232626381361914,0.23768223842021133,0.26457767376904556,0.28884008968071917,0.3850631744395195
Cond_BA/StudySeq10,0.0,0.050522337022673426,0.05057210235474184,0.06260285656372169,0.10841131414668742,0.10851785361985761,0.12296121239932419,0.17003089874710908,0.17015019855853591,0.1900667344918978,0.23549693166432226,0.2385787977244676,0.2598217350303835,0.2752811674421197,0.3521991078510979
Cond_BA/StudySeq11,0.0,0.07910994576268797,0.07929776295408479,0.1003926681078103,0.17116740263052466,0.17148955914573238,0.19852452117415045,0.2708446964430408,0.27128260853474234,0.30925586524045423,0.3877885777433166,0.3944169513651983,0.43212521349580263,0.4583748410277352,0.611740151451964
Cond_BA/StudySeq12,0.0,0.03408662174357896,0.03416272400596953,0.04795421886196402,0.0768942599634651,0.0770645228741681,0.0947020327364693,0.12557273517621764,0.12575975249771318,0.1496900470385505,0.19490521767288252,0.198241436234614,0.2221675050721663,0.21556910672628982,0.2918471783817227
Cond_BA/StudySeq13,0.0,0.03115538290219667,0.031373187588595926,0.049142579151265985,0.07734468129632223,0.07782557097422188,0.10227412283844657,0.13180629109012085,0.13257186188326983,0.16645815839196793,0.19111338487817764,0.19844021717688393,0.2297129387416906,0.23588192405132608,0.3469678612271872
