,Spine,Spine1,Spine2,Spine3,LeftShoulder,LeftArm,LeftForearm,LeftHand,RightShoulder,RightArm,RightForearm,RightHand,Neck,Neck1,Head
Cond_BA/StudySeq1,0.0,108.4004986684237,223.8785914131883,357.32017827200093,489.9418638509753,776.3532950067718,1688.9079162848102,4788.8939391651975,489.9235426244334,648.1281874258323,2077.839641130108,5560.946952887269,532.9076665327367,630.7200798235767,725.0791042940783
Cond_BA/StudySeq2,0.0,120.8335829066366,242.54832650813358,377.6480254206583,519.9820753967027,823.1669449149842,1763.760113956967,5854.063832437789,519.9615613300365,607.6933420092647,1993.5727621642764,5851.056038139599,568.3889157869056,681.3368164928062,795.1932844579376
Cond_BA/StudySeq3,0.0,103.72981327952267,215.52680631445472,346.7765409589782,470.0242837515617,761.2034064129864,1714.2771214081845,4124.820452228914,470.0191737174208,615.9065377548253,2068.4728354874765,4126.5490717897765,513.3299549588218,603.9233388631976,692.628848309876
Cond_BA/StudySeq4,0.0,93.95780130323132,191.7423534583852,303.0573598498284,427.1347186550852,657.5154963437583,2106.4313219553496,5799.919556978555,427.14850043357694,653.5704730010616,3031.6813332464603,5973.921399317624,460.6137332714948,550.5687075623538,637.9147389102696
Cond_BA/StudySeq5,0.0,77.03025416095878,152.65833379786994,242.2978478366428,342.249078526275,594.9279658886279,2375.10608075343,4875.731201687861,342.24554402925537,569.9528531035186,3086.2335990495794,3988.5874230994377,375.32531199866,437.37179992907585,498.4006070184671
Cond_BA/StudySeq6,0.0,93.28272472220156,188.2918360453763,300.7596495609167,417.53685441363007,711.3558407508139,2254.585046405971,5561.577238318912,417.5071943849212,633.6634875423164,2870.447057766547,5742.180082059704,461.7318848968082,546.7198011844489,627.0558887421919
Cond_BA/StudySeq7,0.0,86.07199066887173,173.21513550394735,272.88335116610955,383.23765854734467,590.81034993753,1908.0048369479516,6620.095408744521,383.2214759704308,526.3128486719717,2506.188890214642,5365.513350357182,419.7499904455605,505.4667527751725,589.6276551490197
Cond_BA/StudySeq8,0.0,87.54453149174323,175.13360268016484,277.8070836434565,395.85230089933526,645.8393969945108,2555.3126563444034,4959.860710419465,395.83781735660295,608.2915447384992,3004.1994342035023,5326.269887809439,434.3567989635179,519.9558491140283,605.6511121837498
Cond_BA/StudySeq9,0.0,139.67375095660782,272.33956095627144,422.57361721689324,581.4953767280566,971.2978979970446,2317.2658567993435,5188.76572149178,581.4781980022433,708.8195805213063,2169.664893695254,5149.495700265702,634.9318464056863,742.1606235577162,847.1712834070196
Cond_BA/StudySeq10,0.0,123.83349357964167,243.34744839213533,373.76332438966807,514.9476079283444,784.7743428373378,1592.9543087437014,4909.353593905469,514.9563763583234,609.3775046269379,1872.3437782271162,5217.530074292434,561.8754314422033,671.4234907863846,781.129097646709
Cond_BA/StudySeq11,0.0,129.32440450275772,253.37456434594827,396.8765003759672,553.3742626037439,882.5751077630628,2193.4702892735113,5021.456069129627,553.3595663635915,675.8048844216092,2480.259309788053,4247.855871657862,604.4070936551686,707.1318787338879,809.0745089930585
Cond_BA/StudySeq12,0.0,103.66503508107421,202.04047793366584,315.67296703745615,459.40571078743096,708.6182722235077,2643.278973072701,5228.17392307314,459.40469158775045,634.942769497821,3159.6995282158628,5345.797905242505,492.3219415285453,584.7677142449968,678.2604825891613
Cond_BA/StudySeq13,0.0,89.85581661258385,183.74865994313396,292.8542257046237,400.5980228503523,640.7683168148976,2400.0019062425595,4208.897291325832,400.59647042043247,582.6985048337451,2757.7926684927565,4712.381073947007,439.65723858502196,519.884868988649,593.917520774796
Cond_BA/StudySeq14,0.0,56.782478227633334,115.79218223798594,185.18119609423815,261.736836871264,423.77122401792394,1735.4611492715321,5034.5187331123925,261.74859464065145,419.35695484995193,2107.4774351346014,4793.325927892774,283.7964816098787,337.33921900807456,392.9337973118234
Cond_BA/StudySeq15,0.0,72.94440088783682,150.6528010392529,239.84069821911007,334.810270962244,502.88593731951215,1889.5264802242282,5921.253175796186,334.8081110521173,461.458234848576,2589.8877182158644,5997.193068763983,363.5026119847637,441.24613842419205,520.0634352415054
Cond_BA/StudySeq16,0.0,69.34534446892253,141.89663487741538,226.6270521209816,319.3940445737829,495.1742215597727,1853.8186976893564,5531.728993057692,319.4012488903048,498.8397082471273,2397.103224314065,6831.426094854122,345.60954379374857,415.41615880488143,487.0307883401833
Cond_BA/StudySeq17,0.0,69.6640196874924,140.6458647359373,223.0155860580348,311.9488412303837,496.4741981234438,1910.3897610235583,5561.8532418224295,311.96354388256543,495.34666750526367,2829.906265999582,5421.9134787939865,339.5053485255033,411.5105012482334,489.63052406324636
Cond_BA/StudySeq18,0.0,80.40878260789911,163.19767614667498,258.1219804310697,360.73560601757924,560.6165203228919,1777.1210166234569,5912.43807932522,360.7268109675373,515.0671917177967,2648.6323471489345,6099.709264614113,389.3219831572563,463.8987392300339,539.0636399907798
Cond_BA/StudySeq19,0.0,57.335676128814754,117.77318095405849,187.87854545861956,268.1378818140719,395.7405828429172,1088.0695445867893,4247.806115098808,268.1395726482952,417.8761966957733,1869.036943130726,4971.353592382758,289.30839136168413,347.12617487050437,403.2485078942127
Cond_BA/StudySeq20,0.0,67.78233030322339,138.43970918869667,220.98599895929397,308.9209669272643,474.1143663877126,1624.1958394642224,6116.115180291936,308.9267765988548,520.3779890133812,2479.768014722737,6036.077004649067,337.12341634872473,403.14668589752927,467.6401968546111
Cond_BA/StudySeq21,0.0,171.04887382587893,337.9875424985612,528.1419533206976,727.1444925677529,1187.6815604316162,2700.517975249573,6335.286822964573,727.1153879597881,922.1910696958879,3367.0336213639666,6023.584833176978,796.786380042522,937.4266517499813,1079.8387390579119
Cond_BA/StudySeq22,0.0,105.96300667082463,214.61871609577233,339.45660393427806,472.5722966253531,685.411179612962,1816.5799175039665,6677.573233695785,472.5756653668817,613.2395252181685,2707.6590370869653,5924.423817649395,515.2149413491419,619.1139164693319,712.2064718684474
Cond_BA/StudySeq23,0.0,107.10626008997619,214.39206973665992,331.0829548580569,454.94710175578126,684.0175008057586,1818.2399032481464,4558.493638422091,454.9600653613139,544.2938618036911,1753.3385318084042,4753.817016019046,497.0686813923234,606.8513161256599,719.3937479666137
Cond_BA/StudySeq24,0.0,93.67091221043333,191.7027615244473,296.7218228811113,409.7149301700749,620.1383280651847,1521.8330576242283,4637.276450404216,409.71055640278485,578.7208126841294,3224.723486690584,6240.403486551677,444.9974683537963,550.3483454047199,655.0104950684466
Cond_BA/StudySeq25,0.0,97.13496903624858,193.67046347390325,300.6284644354316,407.4881152855909,658.1612868286779,1998.0637084807354,5815.117825311738,407.47931103626905,567.3085347247992,2492.8044842316517,5215.515457129913,446.5124914837667,531.6690973271893,618.151609290539
Cond_BA/StudySeq26,0.0,74.20747298822505,149.0119192309862,239.39294368107636,352.39599430157034,602.4848084827072,2132.6292615046514,6257.33319360103,352.3938496533239,566.5835136774447,2356.9453794589326,4859.901263893678,375.7260036526575,444.41642694426093,512.7599408561754
Cond_BA/StudySeq27,0.0,59.31701156812785,122.78062634426307,195.241247814732,288.04843336962665,444.91616656110716,2054.7097500932064,5516.452640394074,288.0699652889302,418.22534920676287,2061.758482276339,5875.779285258681,306.3727730079994,378.68836613830837,448.6639464742413
Cond_BA/StudySeq28,0.0,93.2493194519381,187.27732191399133,304.3320497793058,427.267534129192,684.9804554274453,2365.816735003049,6611.944049350955,427.2666168026652,648.3092669680527,2894.2558351604935,5751.728098566474,466.82115332602444,538.1083468347186,602.9934275282365
Cond_BA/StudySeq29,0.0,89.5371398004899,180.6941572216505,293.0879595018795,408.51727257118864,625.7657326244525,2179.807864488817,4932.181913048431,408.5172267179969,594.100722453119,2563.361619349943,6009.1509130767745,447.68054955071733,525.912229858985,596.611904799917
Cond_BA/StudySeq30,0.0,120.675260497777,234.79151675706186,366.3928112606219,511.1622204205833,773.6600140483865,1621.2743845717014,5290.7265469557115,511.1521487309601,587.0947990524122,1615.112592637594,5415.046137423388,559.747883551386,663.0109868425952,770.1552517087107
Cond_BA/StudySeq31,0.0,139.33763648497103,275.17298556709187,422.59445681072054,582.3347581503981,851.4323820298138,1509.420802850861,3652.0042551752913,582.3530932238874,631.7931483395581,1556.4161068910928,4298.312981268663,632.5962073745038,761.8088222712896,889.937866717845
Cond_BA/StudySeq32,0.0,146.6128499009555,296.1190500548865,466.88983243480675,628.4016050112108,987.8451908716761,2046.7444941316553,5190.700324315103,628.405555350106,822.3480270043588,2436.692738335833,5497.798263263006,689.3546239323881,802.924219959631,913.0140970629769
Cond_BA/StudySeq33,0.0,106.48389222287854,209.23108636485523,322.99686556974643,449.25625463764703,672.4428762926539,1601.4044812205996,5413.491399622169,449.2601262193915,564.8980450104232,2679.345582964538,5983.2649702504,488.7616209399978,588.5007438477294,689.5845502531179
Cond_BA/StudySeq34,0.0,59.58681006938339,122.96955439045217,197.99156951210716,287.52762064935985,423.13843217341787,1148.2214494036052,6522.815288412089,287.53097425230794,395.1986077196488,1605.4859896528428,4984.583575690727,310.78131272422803,378.6819669220671,441.624411117715
Cond_BA/StudySeq35,0.0,64.80579433042384,131.69321305409954,209.70177585557894,288.7250649034381,466.8570717041631,2144.0499624195922,5096.9005776255335,288.74676247316665,450.7849127050957,1940.2013417234966,4904.133480769869,315.61910914852723,374.73049774592437,433.84797813764834
Cond_BA/StudySeq36,0.0,58.267103258249335,118.96554750656011,190.78746031642024,279.3034899810531,415.9273413591891,1694.4214710378346,8475.792258131201,279.32277530822023,433.77842863863964,2189.192141418551,5651.9308540382735,300.19013387527104,363.40433587718235,424.9654513679368
Cond_BA/StudySeq37,0.0,69.10861760865097,142.49277957480945,225.13525901558404,322.63956924381006,534.6577900036328,2196.467366323828,6179.6731665390125,322.66432742209213,468.9439419098264,1858.635405706014,5390.620426786832,345.5350674291893,426.50980855268597,508.2586147986933
Cond_BA/StudySeq38,0.0,85.56452811744239,172.90745448724465,276.6240322074396,376.3364655467359,573.6741153469357,1261.8169765849016,3689.4757505982557,376.3246329084552,546.7915674847834,2225.0430512002968,4578.520216294577,413.74193951729694,483.0989563701141,551.785588897554
Cond_BA/StudySeq39,0.0,67.55180274909385,137.8846019331147,219.2462757674292,311.527256261894,469.295006285337,1620.0171361848365,6490.575884482564,311.5410749265759,498.9317627432613,2441.3951798263092,5157.289240806487,339.1244614652786,417.7026763615088,504.3026939113682
Cond_BA/StudySeq40,0.0,69.12505831187454,143.19255673989605,228.66628070223013,324.1546322708967,485.26964099718475,1756.351931951298,5251.957985415901,324.1742733158659,489.58794042217386,2040.9558532152246,4221.189331450685,349.8737816639424,417.0827964108718,484.33335079815265
