,Mean_Appropriateness_Score
Cond_BA/StudySeq1,36.48
Cond_BA/StudySeq2,38.79166666666666
Cond_BA/StudySeq3,28.0
Cond_BA/StudySeq4,44.21739130434783
Cond_BA/StudySeq5,44.4
Cond_BA/StudySeq6,46.04
Cond_BA/StudySeq7,55.54166666666666
Cond_BA/StudySeq8,39.2
Cond_BA/StudySeq9,50.05
Cond_BA/StudySeq10,43.875
Cond_BA/StudySeq11,46.57142857142857
Cond_BA/StudySeq12,36.785714285714285
Cond_BA/StudySeq13,43.69565217391305
Cond_BA/StudySeq14,40.91666666666666
Cond_BA/StudySeq15,31.166666666666668
Cond_BA/StudySeq16,46.91304347826087
Cond_BA/StudySeq17,30.814814814814813
Cond_BA/StudySeq18,40.785714285714285
Cond_BA/StudySeq19,52.79166666666666
Cond_BA/StudySeq20,41.72413793103448
Cond_BA/StudySeq21,25.48
Cond_BA/StudySeq22,44.04347826086956
Cond_BA/StudySeq23,43.14814814814815
Cond_BA/StudySeq24,28.55555555555556
Cond_BA/StudySeq25,42.2
Cond_BA/StudySeq26,38.96
Cond_BA/StudySeq27,45.61538461538461
Cond_BA/StudySeq28,35.03846153846154
Cond_BA/StudySeq29,45.206896551724135
Cond_BA/StudySeq30,38.73076923076923
Cond_BA/StudySeq31,30.869565217391305
Cond_BA/StudySeq32,35.583333333333336
Cond_BA/StudySeq33,47.92307692307692
Cond_BA/StudySeq34,34.24
Cond_BA/StudySeq35,37.74074074074074
Cond_BA/StudySeq36,45.892857142857146
Cond_BA/StudySeq37,32.38461538461539
Cond_BA/StudySeq38,40.82758620689656
Cond_BA/StudySeq39,42.32
Cond_BA/StudySeq40,43.5925925925926
Cond_BA/StudySeq41,36.48
Cond_BA/StudySeq42,38.79166666666666
Cond_BA/StudySeq43,28.0
Cond_BA/StudySeq44,44.21739130434783
Cond_BA/StudySeq45,44.4
Cond_BA/StudySeq46,46.04
Cond_BA/StudySeq47,55.54166666666666
Cond_BA/StudySeq48,39.2
Cond_BA/StudySeq49,50.05
Cond_BA/StudySeq50,43.875
Cond_BA/StudySeq51,46.57142857142857
Cond_BA/StudySeq52,36.785714285714285
Cond_BA/StudySeq53,43.69565217391305
Cond_BA/StudySeq54,40.91666666666666
Cond_BA/StudySeq55,31.166666666666668
Cond_BA/StudySeq56,46.91304347826087
Cond_BA/StudySeq57,30.814814814814813
Cond_BA/StudySeq58,40.785714285714285
Cond_BA/StudySeq59,52.79166666666666
Cond_BA/StudySeq60,41.72413793103448
Cond_BA/StudySeq61,25.48
