,Mean_Appropriateness_Score
StudySeq1,36.48
StudySeq2,38.791666666666664
StudySeq3,28.0
StudySeq4,44.21739130434783
StudySeq5,44.4
StudySeq6,46.04
StudySeq7,55.541666666666664
StudySeq8,39.2
StudySeq9,50.05
StudySeq10,43.875
StudySeq11,46.57142857142857
StudySeq12,36.785714285714285
StudySeq13,43.69565217391305
StudySeq14,40.916666666666664
StudySeq15,31.166666666666668
StudySeq16,46.91304347826087
StudySeq17,30.814814814814813
StudySeq18,40.785714285714285
StudySeq19,52.791666666666664
StudySeq20,41.724137931034484
StudySeq21,25.48
StudySeq22,44.04347826086956
StudySeq23,43.148148148148145
StudySeq24,28.555555555555557
StudySeq25,42.2
StudySeq26,38.96
StudySeq27,45.61538461538461
StudySeq28,35.03846153846154
StudySeq29,45.206896551724135
StudySeq30,38.73076923076923
StudySeq31,30.869565217391305
StudySeq32,35.583333333333336
StudySeq33,47.92307692307692
StudySeq34,34.24
StudySeq35,37.74074074074074
StudySeq36,45.892857142857146
StudySeq37,32.38461538461539
StudySeq38,40.827586206896555
StudySeq39,42.32
StudySeq40,43.592592592592595
