,Mean_Human_Likeness_Score
StudySeq1,38.15384615384615
StudySeq2,41.03846153846154
StudySeq3,43.46153846153846
StudySeq4,34.458333333333336
StudySeq5,52.275862068965516
StudySeq6,44.833333333333336
StudySeq7,53.88461538461539
StudySeq8,47.0
StudySeq9,49.04761904761905
StudySeq10,46.95454545454545
StudySeq11,52.74074074074074
StudySeq12,38.32142857142857
StudySeq13,36.391304347826086
StudySeq14,42.73913043478261
StudySeq15,45.47826086956522
StudySeq16,50.708333333333336
StudySeq17,50.666666666666664
StudySeq18,49.80769230769231
StudySeq19,41.791666666666664
StudySeq20,40.888888888888886
StudySeq21,46.68
StudySeq22,42.36363636363637
StudySeq23,47.96296296296296
StudySeq24,46.107142857142854
StudySeq25,59.0
StudySeq26,52.0
StudySeq27,46.607142857142854
StudySeq28,47.370370370370374
StudySeq29,50.111111111111114
StudySeq30,50.88
StudySeq31,51.291666666666664
StudySeq32,50.96
StudySeq33,44.24
StudySeq34,44.56
StudySeq35,49.76
StudySeq36,41.172413793103445
StudySeq37,38.035714285714285
StudySeq38,50.233333333333334
StudySeq39,41.56
StudySeq40,43.857142857142854
