,Mean_Human_Likeness_Score
Cond_BA/StudySeq1,38.15384615384615
Cond_BA/StudySeq2,41.03846153846154
Cond_BA/StudySeq3,43.46153846153846
Cond_BA/StudySeq4,34.458333333333336
Cond_BA/StudySeq5,52.27586206896552
Cond_BA/StudySeq6,44.833333333333336
Cond_BA/StudySeq7,53.88461538461539
Cond_BA/StudySeq8,47.0
Cond_BA/StudySeq9,49.04761904761905
Cond_BA/StudySeq10,46.95454545454545
Cond_BA/StudySeq11,52.74074074074074
Cond_BA/StudySeq12,38.32142857142857
Cond_BA/StudySeq13,36.391304347826086
Cond_BA/StudySeq14,42.73913043478261
Cond_BA/StudySeq15,45.47826086956522
Cond_BA/StudySeq16,50.708333333333336
Cond_BA/StudySeq17,50.66666666666666
Cond_BA/StudySeq18,49.80769230769231
Cond_BA/StudySeq19,41.79166666666666
Cond_BA/StudySeq20,40.888888888888886
Cond_BA/StudySeq21,46.68
Cond_BA/StudySeq22,42.36363636363637
Cond_BA/StudySeq23,47.96296296296296
Cond_BA/StudySeq24,46.10714285714285
Cond_BA/StudySeq25,59.0
Cond_BA/StudySeq26,52.0
Cond_BA/StudySeq27,46.60714285714285
Cond_BA/StudySeq28,47.37037037037037
Cond_BA/StudySeq29,50.11111111111112
Cond_BA/StudySeq30,50.88
Cond_BA/StudySeq31,51.29166666666666
Cond_BA/StudySeq32,50.96
Cond_BA/StudySeq33,44.24
Cond_BA/StudySeq34,44.56
Cond_BA/StudySeq35,49.76
Cond_BA/StudySeq36,41.172413793103445
Cond_BA/StudySeq37,38.035714285714285
Cond_BA/StudySeq38,50.23333333333333
Cond_BA/StudySeq39,41.56
Cond_BA/StudySeq40,43.85714285714285
Cond_BA/StudySeq41,38.15384615384615
Cond_BA/StudySeq42,41.03846153846154
Cond_BA/StudySeq43,43.46153846153846
Cond_BA/StudySeq44,34.458333333333336
Cond_BA/StudySeq45,52.27586206896552
Cond_BA/StudySeq46,44.833333333333336
Cond_BA/StudySeq47,53.88461538461539
Cond_BA/StudySeq48,47.0
Cond_BA/StudySeq49,49.04761904761905
Cond_BA/StudySeq50,46.95454545454545
Cond_BA/StudySeq51,52.74074074074074
Cond_BA/StudySeq52,38.32142857142857
Cond_BA/StudySeq53,36.391304347826086
Cond_BA/StudySeq54,42.73913043478261
Cond_BA/StudySeq55,45.47826086956522
Cond_BA/StudySeq56,50.708333333333336
Cond_BA/StudySeq57,50.66666666666666
Cond_BA/StudySeq58,49.80769230769231
Cond_BA/StudySeq59,41.79166666666666
Cond_BA/StudySeq60,40.888888888888886
Cond_BA/StudySeq61,46.68
Cond_BA/StudySeq62,42.36363636363637
Cond_BA/StudySeq63,47.96296296296296
Cond_BA/StudySeq64,46.10714285714285
Cond_BA/StudySeq65,59.0
Cond_BA/StudySeq66,52.0
Cond_BA/StudySeq67,46.60714285714285
Cond_BA/StudySeq68,47.37037037037037
Cond_BA/StudySeq69,50.11111111111112
Cond_BA/StudySeq70,50.88
Cond_BA/StudySeq71,51.29166666666666
Cond_BA/StudySeq72,50.96
Cond_BA/StudySeq73,44.24
Cond_BA/StudySeq74,44.56
Cond_BA/StudySeq75,49.76
Cond_BA/StudySeq76,41.172413793103445
Cond_BA/StudySeq77,38.035714285714285
Cond_BA/StudySeq78,50.23333333333333
Cond_BA/StudySeq79,41.56
Cond_BA/StudySeq80,43.85714285714285
Cond_BA/StudySeq81,38.15384615384615
Cond_BA/StudySeq82,41.03846153846154
Cond_BA/StudySeq83,43.46153846153846
Cond_BA/StudySeq84,34.458333333333336
Cond_BA/StudySeq85,52.27586206896552
Cond_BA/StudySeq86,44.833333333333336
Cond_BA/StudySeq87,53.88461538461539
Cond_BA/StudySeq88,47.0
Cond_BA/StudySeq89,49.04761904761905
Cond_BA/StudySeq90,46.95454545454545
Cond_BA/StudySeq91,52.74074074074074
Cond_BA/StudySeq92,38.32142857142857
Cond_BA/StudySeq93,36.391304347826086
Cond_BA/StudySeq94,42.73913043478261
Cond_BA/StudySeq95,45.47826086956522
Cond_BA/StudySeq96,50.708333333333336
Cond_BA/StudySeq97,50.66666666666666
Cond_BA/StudySeq98,49.80769230769231
Cond_BA/StudySeq99,41.79166666666666
Cond_BA/StudySeq100,40.888888888888886
Cond_BA/StudySeq101,46.68
Cond_BA/StudySeq102,42.36363636363637
Cond_BA/StudySeq103,47.96296296296296
Cond_BA/StudySeq104,46.10714285714285
Cond_BA/StudySeq105,59.0
Cond_BA/StudySeq106,52.0
Cond_BA/StudySeq107,46.60714285714285
Cond_BA/StudySeq108,47.37037037037037
Cond_BA/StudySeq109,50.11111111111112
Cond_BA/StudySeq110,50.88
Cond_BA/StudySeq111,51.29166666666666
Cond_BA/StudySeq112,50.96
Cond_BA/StudySeq113,44.24
Cond_BA/StudySeq114,44.56
Cond_BA/StudySeq115,49.76
Cond_BA/StudySeq116,41.172413793103445
Cond_BA/StudySeq117,38.035714285714285
Cond_BA/StudySeq118,50.23333333333333
Cond_BA/StudySeq119,41.56
Cond_BA/StudySeq120,43.85714285714285
Cond_BA/StudySeq121,38.15384615384615
Cond_BA/StudySeq122,41.03846153846154
Cond_BA/StudySeq123,43.46153846153846
Cond_BA/StudySeq124,34.458333333333336
Cond_BA/StudySeq125,52.27586206896552
Cond_BA/StudySeq126,44.833333333333336
Cond_BA/StudySeq127,53.88461538461539
Cond_BA/StudySeq128,47.0
Cond_BA/StudySeq129,49.04761904761905
Cond_BA/StudySeq130,46.95454545454545
Cond_BA/StudySeq131,52.74074074074074
Cond_BA/StudySeq132,38.32142857142857
Cond_BA/StudySeq133,36.391304347826086
Cond_BA/StudySeq134,42.73913043478261
Cond_BA/StudySeq135,45.47826086956522
Cond_BA/StudySeq136,50.708333333333336
Cond_BA/StudySeq137,50.66666666666666
Cond_BA/StudySeq138,49.80769230769231
Cond_BA/StudySeq139,41.79166666666666
Cond_BA/StudySeq140,40.888888888888886
Cond_BA/StudySeq141,46.68
Cond_BA/StudySeq142,42.36363636363637
Cond_BA/StudySeq143,47.96296296296296
Cond_BA/StudySeq144,46.10714285714285
Cond_BA/StudySeq145,59.0
Cond_BA/StudySeq146,52.0
Cond_BA/StudySeq147,46.60714285714285
Cond_BA/StudySeq148,47.37037037037037
Cond_BA/StudySeq149,50.11111111111112
Cond_BA/StudySeq150,50.88
Cond_BA/StudySeq151,51.29166666666666
Cond_BA/StudySeq152,50.96
Cond_BA/StudySeq153,44.24
Cond_BA/StudySeq154,44.56
Cond_BA/StudySeq155,49.76
Cond_BA/StudySeq156,41.172413793103445
Cond_BA/StudySeq157,38.035714285714285
Cond_BA/StudySeq158,50.23333333333333
Cond_BA/StudySeq159,41.56
Cond_BA/StudySeq160,43.85714285714285
Cond_BA/StudySeq161,38.15384615384615
Cond_BA/StudySeq162,41.03846153846154
Cond_BA/StudySeq163,43.46153846153846
Cond_BA/StudySeq164,34.458333333333336
Cond_BA/StudySeq165,52.27586206896552
Cond_BA/StudySeq166,44.833333333333336
Cond_BA/StudySeq167,53.88461538461539
Cond_BA/StudySeq168,47.0
Cond_BA/StudySeq169,49.04761904761905
Cond_BA/StudySeq170,46.95454545454545
Cond_BA/StudySeq171,52.74074074074074
Cond_BA/StudySeq172,38.32142857142857
Cond_BA/StudySeq173,36.391304347826086
Cond_BA/StudySeq174,42.73913043478261
Cond_BA/StudySeq175,45.47826086956522
Cond_BA/StudySeq176,50.708333333333336
Cond_BA/StudySeq177,50.66666666666666
Cond_BA/StudySeq178,49.80769230769231
Cond_BA/StudySeq179,41.79166666666666
Cond_BA/StudySeq180,40.888888888888886
Cond_BA/StudySeq181,46.68
Cond_BA/StudySeq182,42.36363636363637
Cond_BA/StudySeq183,47.96296296296296
Cond_BA/StudySeq184,46.10714285714285
Cond_BA/StudySeq185,59.0
Cond_BA/StudySeq186,52.0
